	ADT0614R	ADT06JT1	ADT06P73	ADT08290	ADT0834L	ADT0VSQM	BDT060P4	BDT0613Q	BDT06152	BDT0615B	BDT06FQY	BDT07ZNY	BDT081ZZ	BDT0824M	BDT082CV	BDT082QF	BDT08346	BDT17BWJ	BDT17DSJ	BDT17K6X	BDTO6FXR	CDT00QZ5	CDT033GS	CDT052KF	CDT052MR	CDT0827R	CDT0828T	CDT082FB	CDT082NY	CDT0833D	CDT0K1DW	CDT0VBP1	DDT052KR	DDT052LD	DDT052NJ	DDT06158	DDT06FRH	DDT06JZK	DDT072V1	DDT08GTB	DDT0TGZX	DDT0THCH	DDT178LQ	EDT052L0	EDT06FYR	EDT07ZLT	EDT07ZSG	EDT08	EDT17D5C	EDTO6G1N	FDT033GN	FDT052K3	FDT06JSO	FDT07ZKM	FDT0827K	GDT033GG	GDT052NL	GDT060M2	GDT06147	GDT06P5N	GDT06P5X	GDT0736P	GDT08228	GDT0826X	GDT082BH	GDT082CY	GDT1451Z	HDT00QLN	HDT0615D	HDT06FP9	HDT06PC2	HDT06PCB	JDT052KT	JDT060P6	JDT0614W	JDT0615G	JDT06HKC	JDT06P5K	JDT0735X	JDT082TN	JDT0831P	KDT033RB	KDT060P8	KDT0614Y	KDT0735T	KDT0736S	KDT082CK	KDT082GG	KDT082WK	KDT0V3JN	KDT0V77L	KDT179LM
NOC2L	0.4628031849861145	0.4572926461696625	0.4659808874130249	0.46197187900543213	0.4625825583934784	0.46703648567199707	0.46035104990005493	0.4624660611152649	0.4586164057254791	0.46538007259368896	0.4647270739078522	0.4609784185886383	0.4580109119415283	0.4672372341156006	0.4534112513065338	0.4628579020500183	0.46295151114463806	0.45993560552597046	0.4655928313732147	0.4524856507778168	0.4613906741142273	0.4598296284675598	0.46108174324035645	0.4590923488140106	0.4608929455280304	0.4560924470424652	0.45073574781417847	0.45618879795074463	0.4570840895175934	0.45483309030532837	0.46308520436286926	0.4639289975166321	0.4594702422618866	0.4582018554210663	0.46232205629348755	0.46302205324172974	0.47374531626701355	0.45998895168304443	0.45418938994407654	0.46687397360801697	0.44654491543769836	0.4623659551143646	0.4628210961818695	0.459502637386322	0.46118104457855225	0.4614603519439697	0.46493974328041077	0.4595438838005066	0.46108487248420715	0.46196022629737854	0.4629262685775757	0.4535878896713257	0.46212315559387207	0.4637325406074524	0.46239376068115234	0.46130985021591187	0.4636739194393158	0.46647876501083374	0.4645460546016693	0.4555177092552185	0.4521666467189789	0.46081703901290894	0.4573107659816742	0.46574637293815613	0.4601525068283081	0.4585694670677185	0.4514302611351013	0.463164746761322	0.4592564105987549	0.4585527777671814	0.46327143907546997	0.460264652967453	0.4593716859817505	0.45930153131484985	0.4602789282798767	0.45886218547821045	0.4581025242805481	0.4567393660545349	0.46088504791259766	0.4628651440143585	0.4619799852371216	0.4593169093132019	0.45586827397346497	0.45859989523887634	0.4636743664741516	0.4608980417251587	0.46737533807754517	0.4540993571281433	0.46640723943710327	0.46547383069992065	0.463187575340271	0.46225079894065857
KLHL17	0.04515376314520836	0.0409180223941803	0.04137282073497772	0.037979722023010254	0.042480919510126114	0.04135138541460037	0.041278570890426636	0.043543241918087006	0.0443606898188591	0.03566977009177208	0.041974324733018875	0.03424565866589546	0.039731215685606	0.04143587127327919	0.04490189254283905	0.052183207124471664	0.0459635928273201	0.05363280326128006	0.04363881051540375	0.03447972983121872	0.03840993344783783	0.029114633798599243	0.04425554350018501	0.04593688249588013	0.044866207987070084	0.04250311478972435	0.046834588050842285	0.03720825910568237	0.041081953793764114	0.04894333332777023	0.055051784962415695	0.04659215360879898	0.040059637278318405	0.037950173020362854	0.04284542053937912	0.045942507684230804	0.043045755475759506	0.053186770528554916	0.03963067755103111	0.04440559446811676	0.04155807942152023	0.043276723474264145	0.04136612266302109	0.039788249880075455	0.04207110404968262	0.04515395313501358	0.05304107815027237	0.04601546376943588	0.044984571635723114	0.04235031083226204	0.04081184044480324	0.03699749708175659	0.04349847137928009	0.041368015110492706	0.03899683430790901	0.04173347353935242	0.04469747841358185	0.046164967119693756	0.04789469391107559	0.040462419390678406	0.038336023688316345	0.04153742268681526	0.04411406069993973	0.03980029746890068	0.03956406190991402	0.04160424694418907	0.04328993707895279	0.037865541875362396	0.0401458814740181	0.040799371898174286	0.044116415083408356	0.044199004769325256	0.04531867802143097	0.041819874197244644	0.040302034467458725	0.04224903881549835	0.04235389828681946	0.038319796323776245	0.041909266263246536	0.04195971414446831	0.03847108036279678	0.045706506818532944	0.03907392546534538	0.0390780046582222	0.045916058123111725	0.0388687439262867	0.044701069593429565	0.033770445734262466	0.04332459717988968	0.04370011389255524	0.048300113528966904	0.04115179181098938
PLEKHN1	0.13872984051704407	0.13916301727294922	0.13931138813495636	0.13666102290153503	0.1386040449142456	0.14030295610427856	0.1365574598312378	0.1409415304660797	0.13739991188049316	0.13816164433956146	0.13882726430892944	0.14190295338630676	0.14062537252902985	0.13953737914562225	0.14245879650115967	0.1393878161907196	0.14136739075183868	0.14319783449172974	0.1359456330537796	0.1410445272922516	0.13870546221733093	0.14051881432533264	0.13843564689159393	0.13920864462852478	0.13925370573997498	0.13760268688201904	0.14202477037906647	0.14144903421401978	0.1394825279712677	0.13858483731746674	0.12658759951591492	0.14224368333816528	0.13905617594718933	0.13765102624893188	0.13753095269203186	0.13617756962776184	0.14016523957252502	0.14021500945091248	0.13578027486801147	0.1374058574438095	0.13509802520275116	0.14050734043121338	0.14088815450668335	0.13665901124477386	0.13855834305286407	0.1408931016921997	0.14349807798862457	0.1367141306400299	0.13865773379802704	0.1404406577348709	0.13796210289001465	0.1395045518875122	0.13897646963596344	0.13663791120052338	0.1365288496017456	0.13875551521778107	0.13918772339820862	0.1287253499031067	0.13953669369220734	0.13855667412281036	0.13630524277687073	0.13669399917125702	0.13799943029880524	0.14134934544563293	0.13570944964885712	0.1404864490032196	0.13736143708229065	0.13724443316459656	0.14051268994808197	0.13828450441360474	0.13965675234794617	0.13677550852298737	0.14030613005161285	0.13890936970710754	0.13654673099517822	0.1352861225605011	0.13629166781902313	0.13503263890743256	0.14267443120479584	0.13844221830368042	0.1368449628353119	0.1384560614824295	0.14227767288684845	0.14062117040157318	0.13715656101703644	0.13808299601078033	0.14413349330425262	0.13742610812187195	0.1381063312292099	0.13708053529262543	0.13370196521282196	0.13861410319805145
HES4	0.23805436491966248	0.23606492578983307	0.23649612069129944	0.23695269227027893	0.23608964681625366	0.2351573258638382	0.23064161837100983	0.23798564076423645	0.23200629651546478	0.2320912927389145	0.23322969675064087	0.2361328899860382	0.23152762651443481	0.24598118662834167	0.23752909898757935	0.2347547709941864	0.24150830507278442	0.24389028549194336	0.24308231472969055	0.22935819625854492	0.23231865465641022	0.2341812402009964	0.23738212883472443	0.23567813634872437	0.23109625279903412	0.23988837003707886	0.23269979655742645	0.23860713839530945	0.2342434674501419	0.23644167184829712	0.2392846792936325	0.23662476241588593	0.23384729027748108	0.23964665830135345	0.2326144129037857	0.23434029519557953	0.23797795176506042	0.2434322088956833	0.23410417139530182	0.2407306283712387	0.22401884198188782	0.23806270956993103	0.2365717738866806	0.23435592651367188	0.23408856987953186	0.23721377551555634	0.24113605916500092	0.23806504905223846	0.24071575701236725	0.23339147865772247	0.24330481886863708	0.2350422441959381	0.23660677671432495	0.23999664187431335	0.24450480937957764	0.23050181567668915	0.23537889122962952	0.2364978939294815	0.245461106300354	0.2389698624610901	0.23021851480007172	0.23471024632453918	0.2345394492149353	0.23540708422660828	0.23506051301956177	0.23741623759269714	0.23378810286521912	0.23820310831069946	0.23626209795475006	0.2358054369688034	0.23793920874595642	0.23412376642227173	0.2399914413690567	0.23586855828762054	0.23125794529914856	0.23616193234920502	0.2338934689760208	0.23303276300430298	0.23248781263828278	0.2348228245973587	0.2352571189403534	0.23613722622394562	0.22955705225467682	0.23559191823005676	0.2391349971294403	0.22984039783477783	0.237389475107193	0.231857568025589	0.23807808756828308	0.23677906394004822	0.23627729713916779	0.2364853173494339
ISG15	0.6188991069793701	0.610932469367981	0.6177228093147278	0.6157539486885071	0.617050051689148	0.6169195771217346	0.6152924299240112	0.618735671043396	0.6126528382301331	0.6213796734809875	0.6204480528831482	0.6177525520324707	0.6118261814117432	0.6172780394554138	0.6143114566802979	0.6167881488800049	0.6150001287460327	0.6122812628746033	0.6176425218582153	0.6020451784133911	0.6074730157852173	0.6136401891708374	0.6109182834625244	0.6125833988189697	0.6147605776786804	0.6116397976875305	0.6097025871276855	0.6147621870040894	0.6139684915542603	0.6109781265258789	0.62590491771698	0.6163157224655151	0.6144131422042847	0.6134995818138123	0.6158371567726135	0.6140052676200867	0.6149760484695435	0.61961829662323	0.6129578948020935	0.6164298057556152	0.6058753132820129	0.6212909817695618	0.6150888204574585	0.616584062576294	0.6109609007835388	0.6149259209632874	0.6192377209663391	0.6129863858222961	0.616512656211853	0.6169471740722656	0.6156927347183228	0.6142070889472961	0.6217732429504395	0.6202239990234375	0.607809841632843	0.6169387698173523	0.6062570214271545	0.6174172163009644	0.621719241142273	0.6118320822715759	0.6037983894348145	0.616036057472229	0.6123688220977783	0.6086896061897278	0.6136051416397095	0.6169641613960266	0.6104451417922974	0.6180533170700073	0.6124904155731201	0.6151995658874512	0.6180657148361206	0.6087961792945862	0.6115145087242126	0.6140439510345459	0.618690550327301	0.613376259803772	0.6137177348136902	0.6096282601356506	0.6276215314865112	0.6107977628707886	0.6106122732162476	0.6158679723739624	0.6177440881729126	0.6139508485794067	0.6157128214836121	0.6124469041824341	0.6139189600944519	0.6104594469070435	0.6164961457252502	0.6143485307693481	0.6096332669258118	0.6182035803794861
C1orf159	0.1766231805086136	0.16987450420856476	0.17406265437602997	0.17724396288394928	0.1762709617614746	0.1769714057445526	0.17397987842559814	0.17688226699829102	0.17521896958351135	0.1757717728614807	0.17808008193969727	0.17581988871097565	0.17695394158363342	0.1735139787197113	0.17826785147190094	0.1767263114452362	0.17743507027626038	0.1739329844713211	0.17335885763168335	0.171380415558815	0.17711769044399261	0.17593954503536224	0.17357873916625977	0.17816847562789917	0.17659294605255127	0.17702411115169525	0.17577584087848663	0.1747347116470337	0.17781218886375427	0.17035380005836487	0.16570328176021576	0.1773548573255539	0.1752438247203827	0.18134072422981262	0.17100031673908234	0.1736903041601181	0.17959432303905487	0.17834606766700745	0.1752825826406479	0.1823890507221222	0.1678207516670227	0.17573615908622742	0.17667122185230255	0.17612384259700775	0.17500106990337372	0.17468932271003723	0.1738889217376709	0.1751575917005539	0.17744001746177673	0.17696118354797363	0.17528939247131348	0.17727474868297577	0.1763916313648224	0.17511436343193054	0.17549051344394684	0.17773829400539398	0.1783139705657959	0.17463992536067963	0.1782287061214447	0.1765834391117096	0.1670735478401184	0.17639470100402832	0.17283406853675842	0.17602013051509857	0.17603527009487152	0.17637331783771515	0.17579875886440277	0.1759442239999771	0.17555779218673706	0.17468063533306122	0.17820261418819427	0.1718478947877884	0.17942918837070465	0.1691446453332901	0.17712713778018951	0.17403513193130493	0.17449024319648743	0.17155298590660095	0.1784701645374298	0.17627757787704468	0.1739017814397812	0.1764446198940277	0.1753062605857849	0.17644493281841278	0.17524051666259766	0.17283396422863007	0.17672093212604523	0.17030782997608185	0.17569321393966675	0.17659664154052734	0.1761486530303955	0.16997866332530975
TNFRSF18	0.2838832139968872	0.2789894938468933	0.2899944484233856	0.28719857335090637	0.2834363579750061	0.2891062796115875	0.28399381041526794	0.2863829433917999	0.2828497588634491	0.28712227940559387	0.2913627326488495	0.29023587703704834	0.2867915630340576	0.2852685749530792	0.2856210470199585	0.28430554270744324	0.2877851128578186	0.2845495641231537	0.29312852025032043	0.28221264481544495	0.28488239645957947	0.2868903875350952	0.288288950920105	0.2848735749721527	0.28705859184265137	0.28427624702453613	0.286315381526947	0.2865920662879944	0.2842349708080292	0.2815878093242645	0.2879542410373688	0.28749075531959534	0.28633859753608704	0.28589314222335815	0.2865104675292969	0.28605949878692627	0.2875012159347534	0.28175321221351624	0.28246092796325684	0.28728580474853516	0.27957791090011597	0.2900526523590088	0.2905929386615753	0.2867361903190613	0.28927671909332275	0.2862023711204529	0.2872667610645294	0.28307008743286133	0.28980907797813416	0.28670987486839294	0.2884395122528076	0.2859954237937927	0.2880893349647522	0.28960904479026794	0.2894539535045624	0.28779932856559753	0.287933349609375	0.288839727640152	0.28863975405693054	0.27983978390693665	0.28144827485084534	0.28070148825645447	0.2840006947517395	0.2877061367034912	0.2896677851676941	0.2864253520965576	0.28612056374549866	0.2881244421005249	0.2839716076850891	0.28671908378601074	0.29023629426956177	0.28640007972717285	0.28760334849357605	0.28931692242622375	0.28640496730804443	0.28654944896698	0.28745409846305847	0.2768440544605255	0.2992449104785919	0.2890554368495941	0.28472232818603516	0.286117285490036	0.28036797046661377	0.28994184732437134	0.29143354296684265	0.28848302364349365	0.28586283326148987	0.285417377948761	0.28551530838012695	0.28744474053382874	0.28539586067199707	0.2796362042427063
TNFRSF4	0.223111093044281	0.22914338111877441	0.22512729465961456	0.22056356072425842	0.22932511568069458	0.22802677750587463	0.2209586799144745	0.22212226688861847	0.21855074167251587	0.22328191995620728	0.22654719650745392	0.2262415885925293	0.22127877175807953	0.232672780752182	0.21713124215602875	0.2272346168756485	0.22398528456687927	0.21949239075183868	0.2222016602754593	0.21557483077049255	0.21991951763629913	0.2218218445777893	0.2271588295698166	0.22204822301864624	0.22391557693481445	0.21943782269954681	0.22402210533618927	0.2210959494113922	0.2276713252067566	0.23107463121414185	0.2314952313899994	0.2279060184955597	0.23170821368694305	0.2187020182609558	0.22274327278137207	0.2241610884666443	0.22993674874305725	0.22384029626846313	0.22272035479545593	0.22290754318237305	0.2160835564136505	0.22451061010360718	0.22066344320774078	0.2212045043706894	0.22584150731563568	0.21766212582588196	0.23235097527503967	0.22618229687213898	0.22502601146697998	0.22457167506217957	0.22461888194084167	0.22370463609695435	0.2201997935771942	0.22547166049480438	0.22633641958236694	0.2228250354528427	0.22479566931724548	0.2307552546262741	0.2243092656135559	0.21795755624771118	0.22026020288467407	0.21982012689113617	0.22696658968925476	0.2271691858768463	0.22613275051116943	0.23044125735759735	0.2259797751903534	0.22582180798053741	0.2224225252866745	0.22190523147583008	0.22805388271808624	0.22323577105998993	0.22751984000205994	0.2224445939064026	0.2247852087020874	0.2243107557296753	0.2213813215494156	0.21869191527366638	0.22752785682678223	0.2273242473602295	0.2239929735660553	0.22530783712863922	0.22099515795707703	0.23062722384929657	0.2248230129480362	0.2245565801858902	0.23136509954929352	0.21718928217887878	0.22209784388542175	0.22704410552978516	0.22450241446495056	0.21567562222480774
SDF4	0.48171302676200867	0.4797937870025635	0.47836774587631226	0.48352980613708496	0.48185473680496216	0.48520758748054504	0.47650766372680664	0.4833988845348358	0.47487080097198486	0.4815310835838318	0.48643919825553894	0.48203352093696594	0.47351694107055664	0.48268771171569824	0.47687244415283203	0.4763210713863373	0.4846600294113159	0.48341992497444153	0.4838106036186218	0.4741402268409729	0.48007604479789734	0.4766746759414673	0.4814572334289551	0.4759235084056854	0.4802858531475067	0.47812095284461975	0.47113168239593506	0.4782859683036804	0.47869715094566345	0.47565698623657227	0.4841021001338959	0.4823979437351227	0.48689699172973633	0.4778711199760437	0.4846634864807129	0.48317474126815796	0.490731418132782	0.487724632024765	0.47874659299850464	0.4869174361228943	0.47020840644836426	0.4834189713001251	0.4816189408302307	0.481423020362854	0.4818425178527832	0.4802638590335846	0.4876197576522827	0.476371705532074	0.4818454384803772	0.4815007448196411	0.48164767026901245	0.47861260175704956	0.4845449924468994	0.4859730303287506	0.48398494720458984	0.4829835891723633	0.48233020305633545	0.4898858666419983	0.4903782606124878	0.4775725305080414	0.465543657541275	0.479865163564682	0.4775734543800354	0.4857083261013031	0.48318374156951904	0.47973302006721497	0.48590075969696045	0.48732858896255493	0.4817212224006653	0.4820871353149414	0.48591989278793335	0.4898628294467926	0.4796021282672882	0.48500964045524597	0.4821189045906067	0.47835657000541687	0.48157674074172974	0.47291865944862366	0.48684772849082947	0.4817274510860443	0.48092183470726013	0.4836409389972687	0.46673011779785156	0.47915536165237427	0.48314812779426575	0.48008304834365845	0.4911912977695465	0.47317928075790405	0.48635029792785645	0.48680198192596436	0.48116952180862427	0.4843286871910095
B3GALT6	0.28371796011924744	0.27698269486427307	0.2855094075202942	0.2860153317451477	0.28836119174957275	0.27565616369247437	0.2828262150287628	0.2854257822036743	0.28694820404052734	0.28012341260910034	0.28277286887168884	0.2827172875404358	0.2717910706996918	0.2934094965457916	0.2843218743801117	0.2852121889591217	0.28561604022979736	0.29045188426971436	0.2872336208820343	0.2691856324672699	0.2772930860519409	0.28197234869003296	0.2822217345237732	0.2836149036884308	0.2831100821495056	0.2840518653392792	0.28309330344200134	0.2800996005535126	0.2822175621986389	0.28047746419906616	0.28874513506889343	0.28656110167503357	0.279421865940094	0.2836376130580902	0.2839568555355072	0.2814682424068451	0.28255805373191833	0.28937938809394836	0.28050947189331055	0.2864267826080322	0.2737005352973938	0.2887085974216461	0.28335124254226685	0.2801830768585205	0.28053048253059387	0.2806241512298584	0.2961891293525696	0.28414803743362427	0.2828506827354431	0.2812364399433136	0.2859939634799957	0.28798308968544006	0.2822093963623047	0.28981325030326843	0.2821686565876007	0.28096139430999756	0.28592321276664734	0.28907305002212524	0.2932206392288208	0.2816610634326935	0.27847474813461304	0.2784859836101532	0.2887040078639984	0.28127044439315796	0.2858896255493164	0.2874435782432556	0.2860083281993866	0.28192445635795593	0.2823945879936218	0.27957209944725037	0.282365620136261	0.2812590003013611	0.2878422439098358	0.27278265357017517	0.28765347599983215	0.28396356105804443	0.283486545085907	0.28264299035072327	0.2838323414325714	0.2836665213108063	0.2818862795829773	0.2845727801322937	0.2805008888244629	0.282284677028656	0.2835633456707001	0.2817624509334564	0.2860860526561737	0.275420218706131	0.28467434644699097	0.28562960028648376	0.28516682982444763	0.2786005735397339
