	ADT0614R	ADT06JT1	ADT06P73	ADT08290	ADT0834L	ADT0VSQM	BDT060P4	BDT0613Q	BDT06152	BDT0615B	BDT06FQY	BDT07ZNY	BDT081ZZ	BDT0824M	BDT082CV	BDT082QF	BDT08346	BDT17BWJ	BDT17DSJ	BDT17K6X	BDTO6FXR	CDT00QZ5	CDT033GS	CDT052KF	CDT052MR	CDT0827R	CDT0828T	CDT082FB	CDT082NY	CDT0833D	CDT0K1DW	CDT0VBP1	DDT052KR	DDT052LD	DDT052NJ	DDT06158	DDT06FRH	DDT06JZK	DDT072V1	DDT08GTB	DDT0TGZX	DDT0THCH	DDT178LQ	EDT052L0	EDT06FYR	EDT07ZLT	EDT07ZSG	EDT08	EDT17D5C	EDTO6G1N	FDT033GN	FDT052K3	FDT06JSO	FDT07ZKM	FDT0827K	GDT033GG	GDT052NL	GDT060M2	GDT06147	GDT06P5N	GDT06P5X	GDT0736P	GDT08228	GDT0826X	GDT082BH	GDT082CY	GDT1451Z	HDT00QLN	HDT0615D	HDT06FP9	HDT06PC2	HDT06PCB	JDT052KT	JDT060P6	JDT0614W	JDT0615G	JDT06HKC	JDT06P5K	JDT0735X	JDT082TN	JDT0831P	KDT033RB	KDT060P8	KDT0614Y	KDT0735T	KDT0736S	KDT082CK	KDT082GG	KDT082WK	KDT0V3JN	KDT0V77L	KDT179LM
NOC2L	0.5864322781562805	0.5884082913398743	0.5857079029083252	0.5717920660972595	0.5499529242515564	0.559190034866333	0.5801801681518555	0.5744317173957825	0.572762668132782	0.578588604927063	0.5824674367904663	0.5758994817733765	0.5891449451446533	0.5818078517913818	0.5527721047401428	0.47393810749053955	0.5750322937965393	0.5959579944610596	0.5928749442100525	0.6145943403244019	0.5848150849342346	0.5519747734069824	0.5772010684013367	0.594749391078949	0.5787546634674072	0.5557032823562622	0.5586550831794739	0.5766153931617737	0.5776441693305969	0.5810778141021729	0.5789692401885986	0.5899543166160583	0.4919385015964508	0.5817763209342957	0.5856258869171143	0.5665538311004639	0.596442699432373	0.5580760836601257	0.5718277096748352	0.5921878814697266	0.5811155438423157	0.5710352659225464	0.5815712213516235	0.5807439684867859	0.5857473015785217	0.5818359851837158	0.5874830484390259	0.5753358006477356	0.5917087197303772	0.5802935361862183	0.5805649757385254	0.5609877109527588	0.5835442543029785	0.5883613228797913	0.5593962669372559	0.5841495394706726	0.5679032802581787	0.5840380787849426	0.5818538665771484	0.5781466960906982	0.5738973021507263	0.36501234769821167	0.5721305012702942	0.585563600063324	0.4751739799976349	0.5812358856201172	0.556221067905426	0.5705648064613342	0.5811834931373596	0.586739718914032	0.5895832777023315	0.5414806008338928	0.5855525135993958	0.5820189714431763	0.5750706195831299	0.586874783039093	0.580333411693573	0.5642751455307007	0.5582888722419739	0.5913252234458923	0.5896989107131958	0.5677319765090942	0.5650319457054138	0.6041685938835144	0.5897530317306519	0.5755067467689514	0.5728018879890442	0.587750256061554	0.549974799156189	0.5880683660507202	0.5849940776824951	0.576216459274292
KLHL17	0.5737956762313843	0.8201853036880493	0.6046589612960815	0.5550289154052734	0.9107748866081238	0.579426646232605	0.5928059816360474	0.5909528136253357	0.5744118094444275	0.5630261898040771	0.5769695043563843	0.5673654675483704	0.5776134133338928	1.0	0.5870699882507324	1.0	1.0	0.9174166321754456	0.6848161816596985	0.9166467189788818	0.5685028433799744	0.5477447509765625	0.5857922434806824	0.6519266963005066	0.5839536190032959	1.0	0.6667619943618774	0.5622985363006592	1.0	0.5952868461608887	0.5873545408248901	0.6052588820457458	0.6334935426712036	0.5878375172615051	0.5776858329772949	0.5746856331825256	0.5984567999839783	0.5698040127754211	0.5645534992218018	0.7865529656410217	0.5933497548103333	1.0	0.7305326461791992	0.5916023254394531	0.5860283970832825	0.5802609920501709	0.6044726371765137	0.5792751908302307	1.0	0.5767613649368286	0.561988890171051	0.7528272271156311	0.5751474499702454	0.6137809157371521	0.5953128933906555	0.57060706615448	0.5874416828155518	0.5788023471832275	0.5713004469871521	0.5818169713020325	0.5842182636260986	0.7748481631278992	0.6507024765014648	0.6877261400222778	1.0	0.7350809574127197	0.6164787411689758	0.5453492999076843	0.5813428163528442	0.5677003860473633	0.5767313241958618	0.9704733490943909	0.5858032703399658	0.6605426073074341	0.5009710192680359	0.5778630971908569	0.5845853090286255	0.7111063599586487	0.5986031293869019	0.5878922343254089	0.5695881247520447	0.5736978650093079	0.57683926820755	0.5766441226005554	0.7925624251365662	0.5744541883468628	0.5970607995986938	1.0	1.0	0.6024957895278931	0.570728063583374	0.8261529803276062
PLEKHN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16304144263267517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HES4	0.5918339490890503	0.7518504858016968	0.5915136337280273	0.5879297852516174	0.5212635397911072	0.5998053550720215	0.0	1.0	0.5670021176338196	0.43798381090164185	0.5866110324859619	0.5862337350845337	0.5875320434570312	1.0	0.34145301580429077	0.004793077707290649	0.9708700180053711	0.8066061735153198	0.6005586981773376	0.6243117451667786	0.5893214344978333	0.34204554557800293	0.6287775635719299	0.5397335290908813	0.5880633592605591	0.7228299975395203	0.571432888507843	0.5868061780929565	0.5594078302383423	0.5923216342926025	0.5847312211990356	0.6759369373321533	0.0	0.43051669001579285	0.5659557580947876	0.49488741159439087	0.5888735055923462	0.5894109010696411	0.5917999148368835	0.5938563346862793	0.49036887288093567	0.8272922039031982	0.5827361345291138	0.45771265029907227	0.5921637415885925	0.5936511158943176	0.6025140285491943	0.5975050926208496	0.7735497951507568	0.5950652956962585	0.7120539546012878	0.613700270652771	0.5880097150802612	0.6105414032936096	0.6194658279418945	0.5912029147148132	0.1861947625875473	0.5876297950744629	0.5994641184806824	0.6231991648674011	0.5814623832702637	0.589264452457428	0.6201981902122498	0.5815731883049011	0.6628467440605164	0.8985040187835693	0.5693053603172302	0.6760075688362122	0.15427827835083008	0.5882998108863831	0.5908331274986267	0.9048082232475281	0.5945816040039062	0.6380391120910645	0.0	0.5856472253799438	0.5771369934082031	0.5882487893104553	0.5619186162948608	0.6029976606369019	0.5889360308647156	0.8644233345985413	0.5211809277534485	0.5428254008293152	0.597257137298584	0.5629080533981323	0.5090231895446777	0.6286134719848633	0.5647167563438416	0.5040919184684753	0.5868896245956421	0.7226080298423767
ISG15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf159	0.6462624073028564	0.43401244282722473	0.4566664397716522	0.4662604331970215	0.24955669045448303	0.42349672317504883	0.1830528974533081	0.18201805651187897	0.24836722016334534	0.5498054623603821	0.375146746635437	0.6387550830841064	0.6456078886985779	0.5958473682403564	0.4448127746582031	0.20257416367530823	0.35770556330680847	0.34313616156578064	0.4792935848236084	0.4564189016819	0.602410078048706	0.14396141469478607	0.32690081000328064	0.2608843743801117	0.4122898280620575	0.48017793893814087	0.6073706150054932	0.6473507881164551	0.457065224647522	0.41358834505081177	0.6213774681091309	0.5876612067222595	0.3033055365085602	0.2102070152759552	0.6175533533096313	0.17179656028747559	0.6394945383071899	0.6105424165725708	0.6469407677650452	0.1885368525981903	0.2888915538787842	0.271288126707077	0.43284353613853455	0.3093029856681824	0.4593279957771301	0.642575204372406	0.6125621199607849	0.6462796330451965	0.2902992069721222	0.5306093692779541	0.23908013105392456	0.24878112971782684	0.6484535932540894	0.5765587091445923	0.6173856258392334	0.04282002151012421	0.2382541298866272	0.39874187111854553	0.3883824348449707	0.4073801338672638	0.5328953266143799	0.22910891473293304	0.5102773308753967	0.5216610431671143	0.4276280999183655	0.6004724502563477	0.3407619893550873	0.22788698971271515	0.33673277497291565	0.6512812376022339	0.6319027543067932	0.3161470293998718	0.5327367782592773	0.15086036920547485	0.10821013897657394	0.2848126292228699	0.4522007405757904	0.3074180781841278	0.56369948387146	0.42804378271102905	0.6479880809783936	0.15895555913448334	0.2814388573169708	0.2607976496219635	0.4535537660121918	0.637946367263794	0.3800621032714844	0.6465604305267334	0.3226374685764313	0.5430169701576233	0.6473191976547241	0.41377657651901245
TNFRSF18	0.3112768828868866	0.11955989897251129	0.10309405624866486	0.2573235332965851	0.18859490752220154	0.2752916216850281	0.0	0.20843137800693512	0.07911590486764908	0.30578431487083435	0.30919328331947327	0.3175501823425293	0.0	0.0	0.2255915105342865	0.06262794137001038	0.27755317091941833	0.03478711470961571	0.2538583278656006	0.3259829878807068	0.3150845170021057	0.0	0.09202487766742706	0.04923214018344879	0.30967390537261963	0.15747186541557312	0.2503298223018646	0.31163182854652405	0.26085835695266724	0.30747514963150024	0.31146669387817383	0.3289867639541626	0.08468596637248993	0.0	0.3074367642402649	0.30750516057014465	0.3089362680912018	0.2925688624382019	0.29895949363708496	0.1292838752269745	0.29107558727264404	0.2485685646533966	0.25158318877220154	0.0	0.3243441581726074	0.31619471311569214	0.31522178649902344	0.30956435203552246	0.13415080308914185	0.32631218433380127	0.08528102934360504	0.08138862997293472	0.3178134858608246	0.31156080961227417	0.29869145154953003	0.0	0.29686838388442993	0.32260075211524963	0.0	0.3139900863170624	0.31277430057525635	0.0	0.29749491810798645	0.26440420746803284	0.15245965123176575	0.16260777413845062	0.0	0.29895395040512085	0.10122780501842499	0.31736671924591064	0.3137310743331909	0.2852305769920349	0.31129366159439087	0.31945356726646423	0.3061574697494507	0.3160850405693054	0.0	0.19406896829605103	0.3140886425971985	0.3119851350784302	0.30934345722198486	0.2775670886039734	0.2932025194168091	0.19677656888961792	0.31248706579208374	0.31782370805740356	0.24860161542892456	0.36875802278518677	0.0	0.3212636113166809	0.3157188296318054	0.22163373231887817
TNFRSF4	0.5831109881401062	0.6061140894889832	0.5561266541481018	0.5689032673835754	0.5542260408401489	0.5562239289283752	0.2680514454841614	0.5794214606285095	0.5754885077476501	0.5730308890342712	0.5865767598152161	0.5782930254936218	0.5846328735351562	0.743564248085022	0.5475771427154541	0.8391757607460022	0.49066162109375	0.5937503576278687	0.5535761117935181	0.605794370174408	0.5770111680030823	0.24651429057121277	0.5679239630699158	0.33520883321762085	0.5810608267784119	0.5953952074050903	0.5991338491439819	0.5797252655029297	0.5955714583396912	0.5878452062606812	0.5883610844612122	0.6004174947738647	0.5880042314529419	0.5805494785308838	0.5732758641242981	0.5237112641334534	0.6070080399513245	0.5560827851295471	0.5767499804496765	0.4821723699569702	0.5759547352790833	0.713027834892273	0.5700728297233582	0.567911684513092	0.5923076868057251	0.567909836769104	0.6001675128936768	0.5902688503265381	0.6147554516792297	0.5843667387962341	0.4237856864929199	0.6947543621063232	0.5781120657920837	0.5820914506912231	0.5673723816871643	0.2006729394197464	0.5505154132843018	0.5910970568656921	0.5577406287193298	0.5686535239219666	0.5868740677833557	0.48116615414619446	0.5924156904220581	0.5696214437484741	0.5984065532684326	0.6116517186164856	0.6016581058502197	0.60413658618927	0.5731483697891235	0.5831590890884399	0.5855553150177002	0.6559014916419983	0.5933659076690674	0.7113450765609741	0.4127631187438965	0.5836684703826904	0.5648183226585388	0.5832952857017517	0.6055281162261963	0.577682614326477	0.5789374113082886	0.4104750454425812	0.6119067668914795	0.4738355875015259	0.6156989932060242	0.5763881206512451	0.5847227573394775	0.614898145198822	0.6285271644592285	0.589005172252655	0.5819265246391296	0.5411789417266846
SDF4	0.6410461664199829	0.6586849093437195	0.6385771036148071	0.6358541250228882	0.6189385056495667	0.6042450666427612	0.6568477153778076	0.6468594074249268	0.6182167530059814	0.6302399635314941	0.6447495222091675	0.6324435472488403	0.6388453245162964	0.6165123581886292	0.6129224300384521	0.5934575200080872	0.6338129639625549	0.6612759232521057	0.6418042182922363	0.67731112241745	0.6320013403892517	0.6264019012451172	0.6324982643127441	0.6403288245201111	0.6415599584579468	0.6316115260124207	0.6132811903953552	0.6312354803085327	0.648472011089325	0.6421511173248291	0.63542640209198	0.6475083231925964	0.613081157207489	0.6487240791320801	0.6454871892929077	0.6115764379501343	0.6506555080413818	0.6306451559066772	0.6345047950744629	0.6577198505401611	0.6370827555656433	0.6389803290367126	0.6277538537979126	0.6418684720993042	0.6499162912368774	0.6312813758850098	0.6503759026527405	0.6254315972328186	0.6537129282951355	0.6313322186470032	0.6304039359092712	0.6587119102478027	0.6465315818786621	0.6445664167404175	0.6104592680931091	0.6437364816665649	0.628779947757721	0.6408979892730713	0.6422788500785828	0.6520353555679321	0.6102031469345093	0.5345115065574646	0.6191143989562988	0.6455041766166687	0.5110336542129517	0.6464262008666992	0.6396937370300293	0.6549398899078369	0.6459862589836121	0.6406582593917847	0.6377046704292297	0.6231879591941833	0.6369470357894897	0.6378555297851562	0.6324291825294495	0.639594554901123	0.6456989645957947	0.6340846419334412	0.6139331459999084	0.6485154032707214	0.6274856925010681	0.641523540019989	0.6209675073623657	0.6686184406280518	0.6482208967208862	0.6256866455078125	0.6429570913314819	0.6425809860229492	0.6039518713951111	0.6424523591995239	0.6333042979240417	0.6433314681053162
B3GALT6	0.7963358163833618	1.0	1.0	0.7915545701980591	1.0	0.8084201216697693	1.0	1.0	1.0	0.7854322195053101	0.7956966161727905	0.790507972240448	0.7959964871406555	1.0	0.8019582629203796	1.0	1.0	1.0	1.0	1.0	0.7859320640563965	1.0	0.920634388923645	1.0	0.790124773979187	0.8950890302658081	0.7950120568275452	0.7940952181816101	1.0	0.7994632720947266	0.8008989691734314	0.836219072341919	1.0	0.8395401835441589	0.8067004680633545	0.988652229309082	0.801653265953064	0.7833986878395081	0.7854069471359253	1.0	1.0	1.0	1.0	0.7892385721206665	0.8157432675361633	0.7967687845230103	0.8167179822921753	0.7991938591003418	1.0	0.7891566753387451	0.9641909003257751	1.0	0.7887975573539734	0.8195145726203918	0.8132728934288025	1.0	0.815591037273407	0.8010025024414062	0.7935286164283752	0.8205782175064087	0.7896920442581177	0.8027868270874023	0.879936933517456	1.0	0.8515331745147705	0.843519926071167	0.7925969958305359	0.8944829702377319	1.0	0.7919564247131348	0.7938677668571472	1.0	1.0	1.0	1.0	0.7961520552635193	1.0	1.0	1.0	1.0	0.7927011251449585	1.0	0.8060999512672424	1.0	1.0	0.7903226613998413	0.8996300101280212	1.0	1.0	0.8255813717842102	0.7947899103164673	1.0
UBE2J2	0.5681043863296509	0.5738484859466553	0.5517617464065552	0.5522943139076233	0.5054138898849487	0.5375682711601257	0.5306819677352905	0.5503941774368286	0.4889952540397644	0.54730623960495	0.5642428994178772	0.5529983043670654	0.5661894083023071	0.28721269965171814	0.5465162992477417	0.3565512001514435	0.5405765771865845	0.5699924230575562	0.5649438500404358	0.5685727000236511	0.5550678372383118	0.5287113785743713	0.5648891925811768	0.4956207275390625	0.5572514533996582	0.3037698268890381	0.5433080792427063	0.5643656253814697	0.5647767186164856	0.5702640414237976	0.5547897219657898	0.5484793782234192	0.5012322068214417	0.5606171488761902	0.5591278672218323	0.49062860012054443	0.5540291666984558	0.547234296798706	0.5586782097816467	0.47544389963150024	0.5584233999252319	0.5346872210502625	0.5503430366516113	0.555599570274353	0.5740138292312622	0.5659995079040527	0.5710994005203247	0.5600196123123169	0.5631780624389648	0.5544357299804688	0.530393660068512	0.40163591504096985	0.569793164730072	0.5504046678543091	0.5491847395896912	0.4825001060962677	0.5438917875289917	0.5707884430885315	0.5594133138656616	0.558762788772583	0.5381824970245361	0.18919622898101807	0.5460753440856934	0.5575229525566101	0.15138836205005646	0.4946961998939514	0.5546436905860901	0.5088468194007874	0.5514035820960999	0.5673470497131348	0.5572543144226074	0.5008711218833923	0.564553439617157	0.5544123649597168	0.44162726402282715	0.5708720684051514	0.5663797855377197	0.5377057194709778	0.5528045892715454	0.5772935748100281	0.5559610724449158	0.43282005190849304	0.5517387986183167	0.5495271682739258	0.5730068683624268	0.5404303669929504	0.5660701990127563	0.5789434313774109	0.5101326107978821	0.5450835227966309	0.5605582594871521	0.5641565322875977
