	ADT0614R	ADT06JT1	ADT06P73	ADT08290	ADT0834L	ADT0VSQM	BDT060P4	BDT0613Q	BDT06152	BDT0615B	BDT06FQY	BDT07ZNY	BDT081ZZ	BDT0824M	BDT082CV	BDT082QF	BDT08346	BDT17BWJ	BDT17DSJ	BDT17K6X	BDTO6FXR	CDT00QZ5	CDT033GS	CDT052KF	CDT052MR	CDT0827R	CDT0828T	CDT082FB	CDT082NY	CDT0833D	CDT0K1DW	CDT0VBP1	DDT052KR	DDT052LD	DDT052NJ	DDT06158	DDT06FRH	DDT06JZK	DDT072V1	DDT08GTB	DDT0TGZX	DDT0THCH	DDT178LQ	EDT052L0	EDT06FYR	EDT07ZLT	EDT07ZSG	EDT08	EDT17D5C	EDTO6G1N	FDT033GN	FDT052K3	FDT06JSO	FDT07ZKM	FDT0827K	GDT033GG	GDT052NL	GDT060M2	GDT06147	GDT06P5N	GDT06P5X	GDT0736P	GDT08228	GDT0826X	GDT082BH	GDT082CY	GDT1451Z	HDT00QLN	HDT0615D	HDT06FP9	HDT06PC2	HDT06PCB	JDT052KT	JDT060P6	JDT0614W	JDT0615G	JDT06HKC	JDT06P5K	JDT0735X	JDT082TN	JDT0831P	KDT033RB	KDT060P8	KDT0614Y	KDT0735T	KDT0736S	KDT082CK	KDT082GG	KDT082WK	KDT0V3JN	KDT0V77L	KDT179LM
NOC2L	0.4715588390827179	0.4615010619163513	0.4715230166912079	0.46627068519592285	0.468441367149353	0.473368763923645	0.46419793367385864	0.4650886058807373	0.4635733366012573	0.4685378968715668	0.46658697724342346	0.46282774209976196	0.46401551365852356	0.47139889001846313	0.4630775451660156	0.46995809674263	0.4661408066749573	0.4636930525302887	0.46961620450019836	0.45901215076446533	0.46765410900115967	0.46638578176498413	0.4651155471801758	0.46135789155960083	0.46584177017211914	0.46293437480926514	0.45620715618133545	0.4562467932701111	0.46187204122543335	0.46156612038612366	0.46479329466819763	0.46857646107673645	0.46305274963378906	0.4618835151195526	0.46841758489608765	0.46526169776916504	0.47727060317993164	0.4663723409175873	0.4574536681175232	0.47159284353256226	0.459118127822876	0.4645387530326843	0.46654269099235535	0.464381605386734	0.46553289890289307	0.4633808732032776	0.4707973003387451	0.4640340209007263	0.46761441230773926	0.4635133743286133	0.46503379940986633	0.4575941562652588	0.4678805470466614	0.46589192748069763	0.4670547544956207	0.4643705189228058	0.46759098768234253	0.469424307346344	0.4676668047904968	0.46416422724723816	0.4597766101360321	0.46634337306022644	0.460257887840271	0.4709814786911011	0.4665386378765106	0.463054358959198	0.45523834228515625	0.4667115807533264	0.4658702611923218	0.4684917628765106	0.46967124938964844	0.4684831500053406	0.4633258581161499	0.466334730386734	0.46310216188430786	0.4660140573978424	0.46255984902381897	0.46361902356147766	0.4678148627281189	0.46628862619400024	0.4648221731185913	0.4622793197631836	0.46099376678466797	0.4629861116409302	0.4673723876476288	0.4637165665626526	0.471047580242157	0.46198248863220215	0.4683961272239685	0.4714924097061157	0.4678846299648285	0.47115933895111084
KLHL17	0.05011913552880287	0.042659442871809006	0.046361371874809265	0.042509712278842926	0.04903740808367729	0.046300869435071945	0.04629308730363846	0.050901148468256	0.04839412868022919	0.04056469723582268	0.04674120247364044	0.03754400089383125	0.04387492686510086	0.049323879182338715	0.0537872351706028	0.05533580109477043	0.04981367662549019	0.0578119121491909	0.0472150593996048	0.040963947772979736	0.04512909799814224	0.03477568179368973	0.05057847127318382	0.0476396381855011	0.05008311569690704	0.046193938702344894	0.05347847566008568	0.04540050029754639	0.045319851487874985	0.05466139689087868	0.03929950296878815	0.04947945475578308	0.04542502015829086	0.04331294819712639	0.04815554618835449	0.0503409281373024	0.0460364893078804	0.05175412818789482	0.04502005875110626	0.04872883856296539	0.04719853773713112	0.04712923616170883	0.043771423399448395	0.044101350009441376	0.045703087002038956	0.04894563555717468	0.058730706572532654	0.05184762552380562	0.049791060388088226	0.046897631138563156	0.04572660103440285	0.041369061917066574	0.04875496029853821	0.042802594602108	0.04657426103949547	0.04615397751331329	0.048546530306339264	0.04852638766169548	0.050143636763095856	0.04504711925983429	0.04575815424323082	0.04795049875974655	0.052528541535139084	0.04552042484283447	0.0433570072054863	0.046950627118349075	0.04694166034460068	0.040897585451602936	0.044793300330638885	0.04750555008649826	0.0486428439617157	0.05387823283672333	0.04479594528675079	0.045447614043951035	0.04525815695524216	0.04730702191591263	0.04802294820547104	0.04039737954735756	0.042678095400333405	0.04531808942556381	0.042959123849868774	0.0506594143807888	0.044282056391239166	0.04157663881778717	0.04958716034889221	0.04269014671444893	0.047308459877967834	0.04058343544602394	0.050785355269908905	0.04295111447572708	0.05479730665683746	0.04434232786297798
PLEKHN1	0.10311760753393173	0.10252918303012848	0.10223063826560974	0.10146551579236984	0.10288376361131668	0.1028534322977066	0.10201643407344818	0.10100305825471878	0.09933631122112274	0.10004653036594391	0.10239560902118683	0.10308791697025299	0.10446663200855255	0.1034630835056305	0.10637807101011276	0.10262660682201385	0.1037568673491478	0.10834886878728867	0.09959912300109863	0.10428553074598312	0.0995296835899353	0.10481037199497223	0.1018131673336029	0.10389254987239838	0.1019478514790535	0.10126635432243347	0.1069963276386261	0.1027398407459259	0.10603893548250198	0.10225404798984528	0.1033536046743393	0.10568740218877792	0.10249018669128418	0.10134979337453842	0.10133642703294754	0.10210134088993073	0.10379770398139954	0.10581175982952118	0.10065564513206482	0.10172004997730255	0.0980323851108551	0.10328654199838638	0.1020161509513855	0.10040127485990524	0.09931814670562744	0.10501182079315186	0.10944655537605286	0.09778255224227905	0.10242780297994614	0.10170339792966843	0.10085342079401016	0.10353720188140869	0.1036171242594719	0.10011725127696991	0.09976266324520111	0.10124295204877853	0.1006096825003624	0.09892119467258453	0.10394338518381119	0.09993033856153488	0.09978573024272919	0.10093684494495392	0.09973607212305069	0.10466579347848892	0.10156199336051941	0.10292797535657883	0.10104291886091232	0.1005987823009491	0.10572268813848495	0.10056567937135696	0.10174504667520523	0.09909433126449585	0.10385379195213318	0.10159370303153992	0.09635809063911438	0.09894674271345139	0.09708811342716217	0.10148084163665771	0.10545913875102997	0.10149803757667542	0.10017590969800949	0.10185711830854416	0.10762643814086914	0.107244111597538	0.0999777615070343	0.10124510526657104	0.10658182948827744	0.10069877654314041	0.10140538215637207	0.10183607041835785	0.10258829593658447	0.1031462699174881
HES4	0.3918928802013397	0.386037677526474	0.3881714642047882	0.3874323070049286	0.3891354501247406	0.38725385069847107	0.38369473814964294	0.391161173582077	0.38139864802360535	0.3824491500854492	0.3851664066314697	0.385294109582901	0.3846685290336609	0.4005034863948822	0.3899371027946472	0.3896097242832184	0.3922446370124817	0.39509883522987366	0.3950905501842499	0.3846093714237213	0.38526007533073425	0.38762167096138	0.39044156670570374	0.38799411058425903	0.3818739056587219	0.3933512568473816	0.3871537446975708	0.38847437500953674	0.3856750428676605	0.3906663656234741	0.38806232810020447	0.38906019926071167	0.3864201009273529	0.390677273273468	0.384899765253067	0.3863684833049774	0.38825827836990356	0.3937191665172577	0.38761085271835327	0.3925815522670746	0.3819018304347992	0.38900697231292725	0.388699471950531	0.3871534466743469	0.38589006662368774	0.3893277049064636	0.39541178941726685	0.3886018395423889	0.39396440982818604	0.3868699073791504	0.39794763922691345	0.38839444518089294	0.389477014541626	0.38955724239349365	0.39610835909843445	0.3815453052520752	0.3860093057155609	0.3897877037525177	0.3953680694103241	0.38964134454727173	0.3847709000110626	0.3874053359031677	0.388216108083725	0.38825666904449463	0.3861871659755707	0.3886639475822449	0.38675594329833984	0.3913704752922058	0.3886127471923828	0.3929515779018402	0.3912666141986847	0.38989534974098206	0.3886776566505432	0.3886249363422394	0.38314521312713623	0.3903195559978485	0.3847654461860657	0.3854691982269287	0.3878064751625061	0.38246235251426697	0.3860718309879303	0.39187440276145935	0.38135257363319397	0.3858441114425659	0.39167076349258423	0.3808954656124115	0.3868441581726074	0.3853214383125305	0.3912424147129059	0.3879432678222656	0.3876034617424011	0.39241471886634827
ISG15	0.6396076679229736	0.6331052780151367	0.6352599859237671	0.6368246078491211	0.6382063627243042	0.6385393142700195	0.6366096138954163	0.6380331516265869	0.6314288377761841	0.639631450176239	0.6407951712608337	0.6373293399810791	0.6365434527397156	0.6395514011383057	0.6405304670333862	0.6408337354660034	0.6364894509315491	0.6330853700637817	0.6388170123100281	0.6248772144317627	0.6284613609313965	0.6335577964782715	0.6320463418960571	0.6308262348175049	0.6368385553359985	0.6369339823722839	0.6323453187942505	0.6338591575622559	0.6373946666717529	0.6308175325393677	0.6375629901885986	0.638672411441803	0.6354321241378784	0.6336055397987366	0.6368961334228516	0.6354420185089111	0.6349148750305176	0.6407599449157715	0.6307045221328735	0.6372079849243164	0.6360424160957336	0.6422489881515503	0.633319079875946	0.6389300227165222	0.6340727806091309	0.635534942150116	0.6425206065177917	0.6359920501708984	0.6365197896957397	0.6383312344551086	0.6372557282447815	0.637956440448761	0.6407226324081421	0.6409338116645813	0.628853976726532	0.6327125430107117	0.6255456209182739	0.6361660361289978	0.6414356827735901	0.6354087591171265	0.6337200403213501	0.6383723020553589	0.6311565041542053	0.6257758140563965	0.6361467838287354	0.6382367014884949	0.6311228275299072	0.6373592019081116	0.6350298523902893	0.6411576271057129	0.6397305727005005	0.6278654336929321	0.6349309682846069	0.6379523873329163	0.6357730627059937	0.6346678137779236	0.6341853737831116	0.6331467032432556	0.6432427167892456	0.6287122964859009	0.627507746219635	0.6343150734901428	0.6394133567810059	0.6327698230743408	0.6350539326667786	0.6299437284469604	0.6371175050735474	0.6348951458930969	0.6345291137695312	0.6356895565986633	0.6304994821548462	0.6428410410881042
C1orf159	0.19186216592788696	0.18399430811405182	0.1880328357219696	0.19269001483917236	0.1922260820865631	0.19281166791915894	0.19017350673675537	0.18789523839950562	0.19029663503170013	0.19148437678813934	0.19235700368881226	0.18954969942569733	0.19260577857494354	0.18597695231437683	0.19308777153491974	0.19466452300548553	0.19174905121326447	0.1879032552242279	0.1896113008260727	0.1858237236738205	0.19069162011146545	0.19183114171028137	0.18576118350028992	0.19354185461997986	0.19198431074619293	0.19403669238090515	0.18935762345790863	0.1903255432844162	0.1927974969148636	0.18545690178871155	0.19084036350250244	0.19304782152175903	0.1899534910917282	0.19309130311012268	0.18903619050979614	0.18942980468273163	0.19330300390720367	0.1928381323814392	0.1896428018808365	0.19746734201908112	0.18561361730098724	0.1896471083164215	0.19183801114559174	0.19097724556922913	0.19120652973651886	0.18667304515838623	0.18946367502212524	0.1908070296049118	0.19429098069667816	0.1927185207605362	0.18990156054496765	0.19172337651252747	0.1930646002292633	0.19100262224674225	0.1890038698911667	0.1926032155752182	0.19105075299739838	0.18851996958255768	0.1934894621372223	0.19019119441509247	0.17965635657310486	0.19131778180599213	0.18682828545570374	0.19074700772762299	0.1910981386899948	0.19022931158542633	0.1921638548374176	0.18974584341049194	0.18935637176036835	0.18794216215610504	0.1912570744752884	0.18780994415283203	0.19290894269943237	0.18403910100460052	0.1917000114917755	0.1891266107559204	0.18894320726394653	0.1863274872303009	0.19576124846935272	0.18991950154304504	0.18902717530727386	0.18896466493606567	0.19184906780719757	0.18879014253616333	0.1930079460144043	0.18745529651641846	0.19323860108852386	0.18505296111106873	0.18957316875457764	0.19000530242919922	0.19111394882202148	0.18467482924461365
TNFRSF18	0.26472756266593933	0.25938794016838074	0.27129149436950684	0.26797348260879517	0.26288938522338867	0.2693271338939667	0.26531264185905457	0.26258236169815063	0.26327913999557495	0.2651554048061371	0.27085673809051514	0.2694737911224365	0.26694557070732117	0.2618236243724823	0.2689265310764313	0.26769739389419556	0.26812228560447693	0.26482319831848145	0.2736617922782898	0.2651635706424713	0.26598334312438965	0.26685667037963867	0.26875099539756775	0.263749361038208	0.26891034841537476	0.2652687430381775	0.266970694065094	0.26587432622909546	0.2628088891506195	0.2644217312335968	0.26716098189353943	0.26784372329711914	0.2683332562446594	0.26131898164749146	0.26533830165863037	0.26593607664108276	0.2668018043041229	0.26120737195014954	0.2606816589832306	0.26727691292762756	0.2618166208267212	0.26730284094810486	0.26997628808021545	0.2673245370388031	0.2687695026397705	0.26492589712142944	0.2691492736339569	0.2641686797142029	0.2700968384742737	0.2680054306983948	0.2692001760005951	0.26606667041778564	0.26937592029571533	0.27037137746810913	0.26969006657600403	0.2664209008216858	0.2672818899154663	0.26851218938827515	0.26764264702796936	0.26318979263305664	0.26509785652160645	0.2622007429599762	0.26341351866722107	0.2657231092453003	0.2690734565258026	0.26629638671875	0.26627111434936523	0.2682841718196869	0.2652947008609772	0.2692161500453949	0.2721502184867859	0.27015942335128784	0.2669312655925751	0.27156129479408264	0.26437580585479736	0.2692086100578308	0.2677019536495209	0.2574935555458069	0.2787850499153137	0.26800933480262756	0.26475268602371216	0.26144644618034363	0.2623353898525238	0.2696538269519806	0.27242857217788696	0.2686675488948822	0.2685583233833313	0.2603641450405121	0.26599380373954773	0.2692262828350067	0.26766252517700195	0.26147735118865967
TNFRSF4	0.2318478524684906	0.237779438495636	0.2337750792503357	0.2274196892976761	0.2394147515296936	0.23763324320316315	0.22787809371948242	0.22973163425922394	0.22784927487373352	0.22964009642601013	0.23399853706359863	0.23450550436973572	0.23092249035835266	0.24358965456485748	0.22806140780448914	0.23837393522262573	0.23131997883319855	0.2263370007276535	0.22907310724258423	0.22533124685287476	0.2292352318763733	0.23027721047401428	0.23389077186584473	0.228722482919693	0.23333919048309326	0.2300211489200592	0.2358129769563675	0.22885455191135406	0.236336812376976	0.2425360232591629	0.23439115285873413	0.2357868254184723	0.24191291630268097	0.2254175841808319	0.2309005856513977	0.232030987739563	0.23714695870876312	0.23195916414260864	0.23103901743888855	0.23224416375160217	0.22828906774520874	0.23101654648780823	0.22898945212364197	0.22996753454208374	0.23263509571552277	0.22535063326358795	0.24173575639724731	0.23417283594608307	0.23319117724895477	0.23605921864509583	0.23096755146980286	0.23414428532123566	0.22945916652679443	0.23289939761161804	0.2365788370370865	0.2296784520149231	0.23150534927845	0.23779354989528656	0.23187284171581268	0.23147079348564148	0.22897328436374664	0.22847899794578552	0.2364720106124878	0.2342175841331482	0.23151709139347076	0.23909008502960205	0.23339691758155823	0.23396103084087372	0.23090754449367523	0.2324804961681366	0.23648248612880707	0.2352774441242218	0.23396989703178406	0.23049461841583252	0.23051106929779053	0.23468026518821716	0.22866611182689667	0.22923468053340912	0.2334369421005249	0.23497413098812103	0.23321011662483215	0.2310773879289627	0.22946250438690186	0.2361067682504654	0.23301762342453003	0.2331138551235199	0.23744885623455048	0.22364866733551025	0.2304602861404419	0.23613059520721436	0.232585608959198	0.22342059016227722
SDF4	0.5605027675628662	0.5584476590156555	0.5542522668838501	0.5608962774276733	0.5616086721420288	0.5637085437774658	0.5558491349220276	0.5593339204788208	0.5515744686126709	0.5568210482597351	0.5606927275657654	0.5560115575790405	0.5521163940429688	0.5582091212272644	0.5594704151153564	0.5579257607460022	0.5606293082237244	0.5591931343078613	0.5601509809494019	0.5545895099639893	0.5592946410179138	0.5538673400878906	0.5574814677238464	0.549409031867981	0.5582258701324463	0.5604589581489563	0.55109703540802	0.5540232062339783	0.5563401579856873	0.5535289645195007	0.5559345483779907	0.5585829615592957	0.5657875537872314	0.5547407865524292	0.5637257099151611	0.5594121813774109	0.5650976896286011	0.5673737525939941	0.5570303201675415	0.5657522678375244	0.5539514422416687	0.5607982873916626	0.5577616691589355	0.5585650205612183	0.5597524046897888	0.5560030937194824	0.5669278502464294	0.5551668405532837	0.5594868659973145	0.5595533847808838	0.5565246343612671	0.5556283593177795	0.5615265369415283	0.5637772083282471	0.5615881085395813	0.5603200793266296	0.5592082142829895	0.5612849593162537	0.5659596920013428	0.5577282905578613	0.546276330947876	0.557345986366272	0.5542269945144653	0.5633507966995239	0.5619200468063354	0.557573676109314	0.5631561279296875	0.5651271343231201	0.5600085854530334	0.5610896944999695	0.5635302066802979	0.568375825881958	0.5548878312110901	0.5659923553466797	0.5582987666130066	0.5579797029495239	0.5587994456291199	0.5524423718452454	0.5657066106796265	0.5576683878898621	0.5580486059188843	0.5593298077583313	0.5447245836257935	0.5576294660568237	0.5615109205245972	0.5553351044654846	0.5691104531288147	0.5535093545913696	0.564810037612915	0.5641295909881592	0.5583513379096985	0.56710284948349
B3GALT6	0.33150964975357056	0.31875061988830566	0.3286544680595398	0.3293466866016388	0.3393841087818146	0.31981346011161804	0.33022159337997437	0.3312285244464874	0.3331681489944458	0.3238185942173004	0.3262012302875519	0.3248828053474426	0.3155011236667633	0.33632397651672363	0.3358219265937805	0.32657504081726074	0.3291962146759033	0.3322446346282959	0.3309437036514282	0.3176431655883789	0.32572558522224426	0.32543161511421204	0.3268614113330841	0.3278007507324219	0.3286260962486267	0.33323949575424194	0.33195430040359497	0.32715684175491333	0.32811230421066284	0.32545560598373413	0.32472464442253113	0.33223265409469604	0.3262990415096283	0.3316277265548706	0.3303404152393341	0.3277781903743744	0.32595914602279663	0.3325219452381134	0.3271394968032837	0.33261093497276306	0.3241737484931946	0.3340970575809479	0.32635021209716797	0.32330453395843506	0.3207155168056488	0.3245694637298584	0.34259843826293945	0.32675445079803467	0.3288690149784088	0.3267165720462799	0.3304796814918518	0.33731502294540405	0.3252192437648773	0.3330274224281311	0.32791969180107117	0.32704079151153564	0.32996678352355957	0.3302304148674011	0.3364890217781067	0.3260991871356964	0.3250994384288788	0.323111891746521	0.33571717143058777	0.3253622055053711	0.32752007246017456	0.33118149638175964	0.3315069377422333	0.325261652469635	0.3276224732398987	0.32819831371307373	0.3270055949687958	0.32877635955810547	0.32657307386398315	0.3210718631744385	0.33611905574798584	0.32976964116096497	0.33348339796066284	0.32567098736763	0.3291439414024353	0.3244088888168335	0.3262094259262085	0.3304120898246765	0.3253679871559143	0.32726696133613586	0.3278270363807678	0.3261686861515045	0.32879361510276794	0.31800514459609985	0.33130913972854614	0.3268672227859497	0.3305671215057373	0.3283837139606476
