	ADT0614R	ADT06JT1	ADT06P73	ADT08290	ADT0834L	ADT0VSQM	BDT060P4	BDT0613Q	BDT06152	BDT0615B	BDT06FQY	BDT07ZNY	BDT081ZZ	BDT0824M	BDT082CV	BDT082QF	BDT08346	BDT17BWJ	BDT17DSJ	BDT17K6X	BDTO6FXR	CDT00QZ5	CDT033GS	CDT052KF	CDT052MR	CDT0827R	CDT0828T	CDT082FB	CDT082NY	CDT0833D	CDT0K1DW	CDT0VBP1	DDT052KR	DDT052LD	DDT052NJ	DDT06158	DDT06FRH	DDT06JZK	DDT072V1	DDT08GTB	DDT0TGZX	DDT0THCH	DDT178LQ	EDT052L0	EDT06FYR	EDT07ZLT	EDT07ZSG	EDT08	EDT17D5C	EDTO6G1N	FDT033GN	FDT052K3	FDT06JSO	FDT07ZKM	FDT0827K	GDT033GG	GDT052NL	GDT060M2	GDT06147	GDT06P5N	GDT06P5X	GDT0736P	GDT08228	GDT0826X	GDT082BH	GDT082CY	GDT1451Z	HDT00QLN	HDT0615D	HDT06FP9	HDT06PC2	HDT06PCB	JDT052KT	JDT060P6	JDT0614W	JDT0615G	JDT06HKC	JDT06P5K	JDT0735X	JDT082TN	JDT0831P	KDT033RB	KDT060P8	KDT0614Y	KDT0735T	KDT0736S	KDT082CK	KDT082GG	KDT082WK	KDT0V3JN	KDT0V77L	KDT179LM
NOC2L	0.06041475385427475	0.04774361848831177	0.061348121613264084	0.06632240861654282	0.04698509722948074	0.07420845329761505	0.023099161684513092	0.07463236153125763	0.0	0.0709492638707161	0.06617922335863113	0.08142795413732529	0.07473570853471756	0.0729856789112091	0.07442528754472733	0.0	0.044847965240478516	0.06941729784011841	0.048896629363298416	0.07737396657466888	0.07062860578298569	0.0	0.0	0.015650594606995583	0.0	0.06916047632694244	0.06521452963352203	0.04667292535305023	0.12699061632156372	0.04968886449933052	0.07024155557155609	0.07581479847431183	0.0	0.0	0.0	0.0	0.08118610084056854	0.07462112605571747	0.07035022228956223	0.044392041862010956	0.08930365741252899	0.07637389004230499	0.05122135579586029	0.07132728397846222	0.06622754037380219	0.07542700320482254	0.06980382651090622	0.07349526137113571	0.08548549562692642	0.0173281691968441	0.021330736577510834	0.0	0.0733189806342125	0.10363364219665527	0.0527217835187912	0.05567839741706848	0.0	0.06955402344465256	0.06938004493713379	0.06997917592525482	0.08092737197875977	0.0	0.0	0.07739882171154022	0.06149868667125702	0.05535035580396652	0.06523334234952927	0.049040716141462326	0.09120705723762512	0.089740090072155	0.0	0.07535549998283386	0.06616313755512238	0.08842592686414719	0.0134148970246315	0.050732001662254333	0.042277414351701736	0.04732326790690422	0.07422038912773132	0.06218268349766731	0.06749411672353745	0.0656561478972435	0.07038843631744385	0.035711295902729034	0.08714054524898529	0.07110988348722458	0.0636315792798996	0.05127584934234619	0.06408800929784775	0.07096502184867859	0.07498904317617416	0.06451405584812164
KLHL17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HES4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ISG15	0.3960828185081482	0.3276729881763458	0.15420818328857422	0.20701415836811066	0.30565306544303894	0.33100253343582153	0.16320045292377472	0.40604665875434875	0.09913347661495209	0.3281280994415283	0.24088966846466064	0.3395881950855255	0.333828330039978	0.33552616834640503	0.0	0.0	0.34510910511016846	0.3618863523006439	0.3240766227245331	0.13210880756378174	0.3278617560863495	0.04852971062064171	0.18201279640197754	0.26024606823921204	0.31680557131767273	0.19140391051769257	0.24670012295246124	0.3774484395980835	0.06604629755020142	0.37471532821655273	0.3372768461704254	0.6122077703475952	0.05198393017053604	0.32836654782295227	0.25311607122421265	0.0	0.23211345076560974	0.3493537902832031	0.2579863667488098	0.2569822371006012	0.14408724009990692	0.4366756081581116	0.13138709962368011	0.11166994273662567	0.3354383409023285	0.3616848886013031	0.3383330702781677	0.1949121505022049	0.3885204493999481	0.45146918296813965	0.0	0.3372434973716736	0.33999505639076233	0.33580073714256287	0.0	0.23492085933685303	0.0	0.34262073040008545	0.33624112606048584	0.34740352630615234	0.3596208095550537	0.0	0.32146912813186646	0.18951526284217834	0.0	0.08035390079021454	0.3295707702636719	0.4191798269748688	0.42810142040252686	0.3935126066207886	0.3209793269634247	0.3357420861721039	0.3347945809364319	0.3443678617477417	0.0	0.14990834891796112	0.31390559673309326	0.28583016991615295	0.33930331468582153	0.0	0.32535380125045776	0.3769058883190155	0.29382020235061646	0.3505629301071167	0.37851646542549133	0.33795925974845886	0.10138890147209167	0.0	0.1984618753194809	0.32454994320869446	0.20853717625141144	0.34258612990379333
C1orf159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SDF4	0.15458343923091888	0.10653924942016602	0.12314213812351227	0.09196095913648605	0.10012388974428177	0.10275065898895264	0.11873375624418259	0.14542774856090546	0.0722179189324379	0.10465279221534729	0.09694171696901321	0.10998796671628952	0.10907860845327377	0.0	0.10549364984035492	0.043200474232435226	0.10264115035533905	0.11239223927259445	0.1065136194229126	0.11177639663219452	0.11598586291074753	0.08503876626491547	0.11664202809333801	0.0901961699128151	0.10879477113485336	0.10383468121290207	0.11716468632221222	0.08785507082939148	0.178171306848526	0.11713585257530212	0.12639360129833221	0.1754126101732254	0.1069064810872078	0.10512834042310715	0.1084858700633049	0.0885210707783699	0.11479905247688293	0.10578085482120514	0.10827679932117462	0.13055472075939178	0.12986499071121216	0.16608059406280518	0.09921607375144958	0.11869131028652191	0.11141771078109741	0.1114450991153717	0.100131094455719	0.10403315722942352	0.11373581737279892	0.14657798409461975	0.1053035706281662	0.11595939099788666	0.10268602520227432	0.19128510355949402	0.08543193340301514	0.12974640727043152	0.05361926555633545	0.13522516191005707	0.1425236612558365	0.10353603959083557	0.10371281951665878	0.0	0.09404291212558746	0.11339418590068817	0.08354778587818146	0.11685013771057129	0.11450599133968353	0.11656247079372406	0.17649534344673157	0.21908438205718994	0.08332604914903641	0.10479003190994263	0.09866699576377869	0.15042109787464142	0.09505273401737213	0.10781025141477585	0.08997943252325058	0.09226137399673462	0.10443916916847229	0.09853111952543259	0.0896981805562973	0.15384170413017273	0.10290757566690445	0.1255059838294983	0.1810629963874817	0.09356918185949326	0.08720972388982773	0.09878474473953247	0.10330962389707565	0.09640610963106155	0.04144196957349777	0.13561463356018066
B3GALT6	0.3022623062133789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18019473552703857	0.02633868344128132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014182314276695251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13160037994384766	0.10793719440698624	0.003921763971447945	0.0	0.0	0.0	0.0	0.0	0.0	0.25844746828079224	0.0	0.0	0.0	0.0	0.21781976521015167	0.0	0.0	0.037693195044994354	0.0	0.0	0.22023816406726837	0.0	0.0	0.0	0.14401233196258545	0.08802997320890427	0.0	0.03479988873004913	0.27842268347740173	0.2534361779689789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14068301022052765	0.0	0.0	0.32456696033477783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11857999861240387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12059548497200012	0.0
