	ADT0614R	ADT06JT1	ADT06P73	ADT08290	ADT0834L	ADT0VSQM	BDT060P4	BDT0613Q	BDT06152	BDT0615B	BDT06FQY	BDT07ZNY	BDT081ZZ	BDT0824M	BDT082CV	BDT082QF	BDT08346	BDT17BWJ	BDT17DSJ	BDT17K6X	BDTO6FXR	CDT00QZ5	CDT033GS	CDT052KF	CDT052MR	CDT0827R	CDT0828T	CDT082FB	CDT082NY	CDT0833D	CDT0K1DW	CDT0VBP1	DDT052KR	DDT052LD	DDT052NJ	DDT06158	DDT06FRH	DDT06JZK	DDT072V1	DDT08GTB	DDT0TGZX	DDT0THCH	DDT178LQ	EDT052L0	EDT06FYR	EDT07ZLT	EDT07ZSG	EDT08	EDT17D5C	EDTO6G1N	FDT033GN	FDT052K3	FDT06JSO	FDT07ZKM	FDT0827K	GDT033GG	GDT052NL	GDT060M2	GDT06147	GDT06P5N	GDT06P5X	GDT0736P	GDT08228	GDT0826X	GDT082BH	GDT082CY	GDT1451Z	HDT00QLN	HDT0615D	HDT06FP9	HDT06PC2	HDT06PCB	JDT052KT	JDT060P6	JDT0614W	JDT0615G	JDT06HKC	JDT06P5K	JDT0735X	JDT082TN	JDT0831P	KDT033RB	KDT060P8	KDT0614Y	KDT0735T	KDT0736S	KDT082CK	KDT082GG	KDT082WK	KDT0V3JN	KDT0V77L	KDT179LM
NOC2L	0.46993890404701233	0.48436403274536133	0.4668363630771637	0.3703290522098541	0.4747694730758667	0.38313478231430054	0.48082488775253296	0.47075918316841125	0.4268099069595337	0.45066922903060913	0.45514872670173645	0.4684913158416748	0.4733985960483551	0.48373037576675415	0.43478822708129883	0.46201416850090027	0.48159292340278625	0.4867365062236786	0.4696914553642273	0.5035322904586792	0.45527082681655884	0.3745587170124054	0.47617673873901367	0.4759919345378876	0.45568713545799255	0.4765952229499817	0.479363352060318	0.4312397241592407	0.4806594252586365	0.46249639987945557	0.45603862404823303	0.4766455292701721	0.4493248164653778	0.47972455620765686	0.481251060962677	0.4342755675315857	0.458591490983963	0.4618435502052307	0.47628170251846313	0.4861692786216736	0.49267101287841797	0.47955548763275146	0.46814969182014465	0.47105833888053894	0.448650062084198	0.4803165793418884	0.47257837653160095	0.41646015644073486	0.48851683735847473	0.4413449764251709	0.4769395589828491	0.4667374789714813	0.44719812273979187	0.4778312146663666	0.44014430046081543	0.47762611508369446	0.33835116028785706	0.4659894108772278	0.4773373007774353	0.43699997663497925	0.48502781987190247	0.4701908230781555	0.46928781270980835	0.47207334637641907	0.4767962098121643	0.4827021360397339	0.46738818287849426	0.4713292419910431	0.4801222085952759	0.49058330059051514	0.3812364935874939	0.4580800235271454	0.34166234731674194	0.47714751958847046	0.4715508222579956	0.3888415992259979	0.4728097915649414	0.46523338556289673	0.45989662408828735	0.467970073223114	0.48255252838134766	0.47424525022506714	0.46448373794555664	0.494263231754303	0.4790436923503876	0.43451201915740967	0.45139017701148987	0.4785422086715698	0.4666363596916199	0.38984161615371704	0.46939653158187866	0.4628869295120239
KLHL17	0.05978213995695114	0.41624096035957336	0.40286657214164734	0.45547404885292053	0.14627987146377563	0.2151775360107422	0.15382422506809235	0.14561128616333008	0.14184488356113434	0.3136051297187805	0.21357813477516174	0.7550720572471619	0.6059731245040894	0.1433282196521759	0.46759986877441406	0.16203740239143372	0.14826452732086182	0.3117634952068329	0.5531826615333557	0.4259161949157715	0.2614350914955139	0.13147057592868805	0.23703861236572266	0.18842478096485138	0.19374343752861023	0.2718305289745331	0.5849770307540894	0.56597501039505	0.4964247941970825	0.5814125537872314	0.8100398778915405	0.426219642162323	0.17474022507667542	0.26004382967948914	0.2805705964565277	0.14093245565891266	0.6598557233810425	0.6064788103103638	0.6519655585289001	0.19334383308887482	0.42866966128349304	0.14597360789775848	0.495565801858902	0.264013409614563	0.3049241006374359	0.6038123965263367	0.7032791376113892	0.6452993750572205	0.3203049302101135	0.20503540337085724	0.13513238728046417	0.23655708134174347	0.4232873022556305	0.6294105052947998	0.6201655268669128	0.14117978513240814	0.18234975636005402	0.35894981026649475	0.33400195837020874	0.45757994055747986	0.7013956308364868	0.14640699326992035	0.5332246422767639	0.6082828640937805	0.27421095967292786	0.43175268173217773	0.6054995059967041	0.10230938345193863	0.31071436405181885	0.5996159911155701	0.36541256308555603	0.28204530477523804	0.39659973978996277	0.1423485279083252	0.12697800993919373	0.2301935851573944	0.3662555515766144	0.3221348226070404	0.4928223490715027	0.5862128138542175	0.6199544668197632	0.14088092744350433	0.35747864842414856	0.1193421259522438	0.49003463983535767	0.580433189868927	0.5034375786781311	0.46293187141418457	0.14432461559772491	0.4241039752960205	0.8157806992530823	0.39688053727149963
PLEKHN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HES4	0.4750671982765198	0.37746405601501465	0.24740983545780182	0.41450607776641846	0.24180474877357483	0.3996261954307556	0.0	0.5000225901603699	0.21194374561309814	0.0	0.0	0.5926151871681213	0.23603878915309906	0.2554806172847748	0.0	0.2406328171491623	0.25139182806015015	0.3769795596599579	0.2496960610151291	0.2758587896823883	0.4983748197555542	0.0	0.28422147035598755	0.2354825884103775	0.24629323184490204	0.324383407831192	0.19593103229999542	0.0956689789891243	0.1947404444217682	0.22732222080230713	0.458514004945755	0.4468899667263031	0.0	0.0	0.0	0.13420380651950836	0.42011338472366333	0.5861307382583618	0.6109363436698914	0.2510618567466736	0.0	0.24459058046340942	0.24624013900756836	0.0	0.3192146420478821	0.4248451888561249	0.6031341552734375	0.2629213333129883	0.3290097415447235	0.5140430927276611	0.3574715554714203	0.25703638792037964	0.3888520300388336	0.5058740377426147	0.577772319316864	0.24085265398025513	0.0	0.1954978108406067	0.35257378220558167	0.4678410291671753	0.6558716297149658	0.24295441806316376	0.4009912610054016	0.2366606593132019	0.26704952120780945	0.4812748432159424	0.23684480786323547	0.3251150846481323	0.0	0.43315041065216064	0.11418843269348145	0.3968849182128906	0.3116340637207031	0.2454109489917755	0.0	0.12089626491069794	0.042759306728839874	0.24412858486175537	0.05508621782064438	0.3425776958465576	0.10985411703586578	0.3691475987434387	0.0	0.06950052082538605	0.24778242409229279	0.0	0.0	0.27189433574676514	0.2353939712047577	0.0	0.6559082269668579	0.3533983528614044
ISG15	0.6643000841140747	0.6671531796455383	0.6284723281860352	0.4592359960079193	0.6571362614631653	0.22420549392700195	0.663673996925354	0.6677647233009338	0.6621467471122742	0.6261626482009888	0.5619912147521973	0.6581159830093384	0.5799263715744019	0.6646853089332581	0.3208879232406616	0.6333882212638855	0.6626018285751343	0.6714214086532593	0.6495131850242615	0.6653276681900024	0.6084113717079163	0.6420996189117432	0.6490861177444458	0.6613776683807373	0.6108745336532593	0.5101085901260376	0.6632091403007507	0.7732440233230591	0.6532367467880249	0.705433189868927	0.6542869806289673	0.6723765134811401	0.6380874514579773	0.672905683517456	0.4545401930809021	0.4558502435684204	0.5164326429367065	0.7456560730934143	0.6601797938346863	0.660175085067749	0.6544491052627563	0.6673537492752075	0.6579192280769348	0.641009509563446	0.6740922331809998	0.7178910970687866	0.6518698930740356	0.09955020248889923	0.6732553839683533	0.6611482501029968	0.6575318574905396	0.6560535430908203	0.6784199476242065	0.6435855031013489	0.6133764386177063	0.6597395539283752	0.6119701266288757	0.65093994140625	0.6639154553413391	0.8390767574310303	0.6901358962059021	0.6120331287384033	0.6268523931503296	0.6319828629493713	0.5047741532325745	0.6394830942153931	0.6453806161880493	0.6779376864433289	0.6681243777275085	0.6936724185943604	0.6303590536117554	0.6355284452438354	0.5439444184303284	0.6579270958900452	0.6261537075042725	0.3977051377296448	0.6390601992607117	0.6386104226112366	0.6690372228622437	0.549127459526062	0.6581997275352478	0.6606868505477905	0.5512831807136536	0.6709351539611816	0.6617448329925537	0.682407021522522	0.6338719129562378	0.6289930939674377	0.6422069668769836	0.16512250900268555	0.6258912086486816	0.6467564105987549
C1orf159	0.0	0.09654495865106583	0.0	0.0	0.17232774198055267	0.0	0.1719057261943817	0.10615907609462738	0.0	0.0	0.0	0.13096323609352112	0.0	0.17021296918392181	0.0	0.16551965475082397	0.1780281662940979	0.13248713314533234	0.0	0.10490792989730835	0.0	0.0	0.0	0.09628791362047195	0.0	0.16784343123435974	0.0	0.0	0.028937505558133125	0.0	0.0	0.0	0.0982210710644722	0.0	0.0	0.0	0.04972732439637184	0.0	0.0	0.13405349850654602	0.0	0.17739488184452057	0.0	0.0	0.0	0.04047404229640961	0.0	0.06738726794719696	0.13746222853660583	0.0	0.0	0.10306636989116669	0.0	0.0	0.0	0.1763262152671814	0.0	0.0	0.0	0.0	0.0	0.17422205209732056	0.0	0.0	0.17729847133159637	0.09285135567188263	0.0	0.0	0.0	0.0	0.0	0.1507692188024521	0.0	0.1691761016845703	0.16552968323230743	0.0	0.0	0.015028560534119606	0.0	0.0	0.0	0.06928011775016785	0.0	0.0	0.036645375192165375	0.0	0.0	0.0	0.17139878869056702	0.0	0.0	0.0692746564745903
TNFRSF18	0.252952516078949	0.48311540484428406	0.4259311854839325	0.2921236753463745	0.5917295217514038	0.4200700521469116	0.44026827812194824	0.566540002822876	0.4435906410217285	0.4442303478717804	0.2563892602920532	0.2972854971885681	0.4154825508594513	0.5996069312095642	0.3847300410270691	0.5828726887702942	0.6033616065979004	0.4897550046443939	0.43515628576278687	0.6104101538658142	0.308290958404541	0.3403618037700653	0.4181410074234009	0.4847491979598999	0.4691018760204315	0.504371702671051	0.4182429909706116	0.2419741153717041	0.536768913269043	0.560357391834259	0.49461087584495544	0.6139920949935913	0.48969733715057373	0.3359159231185913	0.22294560074806213	0.5557531118392944	0.4820096492767334	0.3586844801902771	0.31011027097702026	0.5704846382141113	0.4617686867713928	0.6017698645591736	0.4584895372390747	0.2275714874267578	0.15143895149230957	0.3664347529411316	0.2990407943725586	0.3101979196071625	0.5286038517951965	0.6364626884460449	0.44002315402030945	0.5045625567436218	0.22628256678581238	0.4759509861469269	0.39963653683662415	0.4590871036052704	0.24054259061813354	0.4489339292049408	0.0	0.41694968938827515	0.6317352056503296	0.5941593647003174	0.4703930616378784	0.4468604326248169	0.5685209631919861	0.42063361406326294	0.23964054882526398	0.5617717504501343	0.45882368087768555	0.33586227893829346	0.3704029619693756	0.5876480937004089	0.2222500741481781	0.6056020259857178	0.5980367064476013	0.48390448093414307	0.22416886687278748	0.4718082547187805	0.4816644787788391	0.5793924331665039	0.3691428601741791	0.5775420665740967	0.558791995048523	0.4382833242416382	0.5926814079284668	0.3647609055042267	0.4231269061565399	0.6558763980865479	0.5116938352584839	0.360971063375473	0.3728114664554596	0.478733628988266
TNFRSF4	0.0	0.364861398935318	0.3290110230445862	0.3297719359397888	0.35551998019218445	0.3231912851333618	0.30990663170814514	0.3458099961280823	0.33992308378219604	0.2995827794075012	0.16335545480251312	0.19684581458568573	0.3449459969997406	0.3601430356502533	0.30348071455955505	0.3646432161331177	0.3522452116012573	0.35756492614746094	0.21249879896640778	0.3740895986557007	0.2814905643463135	0.09186574816703796	0.33085551857948303	0.2695155143737793	0.24796131253242493	0.36195188760757446	0.4141729772090912	0.0	0.42494407296180725	0.32676947116851807	0.4240371584892273	0.37922245264053345	0.3527796268463135	0.3525274991989136	0.15652959048748016	0.30796489119529724	0.5464125275611877	0.2792624235153198	0.35881686210632324	0.35090941190719604	0.3396519124507904	0.3527120351791382	0.3343050479888916	0.27157285809516907	0.4050517678260803	0.23621903359889984	0.35816866159439087	0.6238148808479309	0.3678285479545593	0.38211145997047424	0.2850399613380432	0.40524497628211975	0.0670708566904068	0.3367040753364563	0.2876572012901306	0.32688289880752563	0.08263901621103287	0.3429841995239258	0.03544884920120239	0.2721076011657715	0.47407960891723633	0.3425351679325104	0.3798355758190155	0.3354206383228302	0.3598184883594513	0.44288432598114014	0.4644443094730377	0.3685692548751831	0.34636959433555603	0.33416569232940674	0.2879980206489563	0.3647867441177368	0.35445737838745117	0.34971046447753906	0.34619632363319397	0.3310607969760895	0.2688668370246887	0.35140183568000793	0.4336479604244232	0.3380270302295685	0.36344462633132935	0.3115386664867401	0.5561833381652832	0.20722994208335876	0.40733373165130615	0.35307812690734863	0.3417827785015106	0.4585845172405243	0.35615938901901245	0.2670353353023529	0.2664787173271179	0.32487720251083374
SDF4	0.5624491572380066	0.5746908187866211	0.5571571588516235	0.5230972170829773	0.5579309463500977	0.5042982697486877	0.5723945498466492	0.5571277141571045	0.5486510992050171	0.5691573023796082	0.5662527084350586	0.5484879612922668	0.5581985116004944	0.5566455721855164	0.5570318698883057	0.5320465564727783	0.5622398853302002	0.5728867650032043	0.5549405217170715	0.5889137983322144	0.5613396763801575	0.5501645803451538	0.5600239038467407	0.5607631206512451	0.5893957614898682	0.5604449510574341	0.568610429763794	0.523936927318573	0.5648090243339539	0.5750288963317871	0.5583916306495667	0.5688787698745728	0.5499237775802612	0.5704526305198669	0.5678901672363281	0.5412523746490479	0.5507552623748779	0.5835754871368408	0.5706827044487	0.5726108551025391	0.5865822434425354	0.5609616041183472	0.5501170754432678	0.5614316463470459	0.5709881782531738	0.565565824508667	0.5531686544418335	0.4237757623195648	0.570797324180603	0.5587981343269348	0.5582535266876221	0.5661241412162781	0.5566185712814331	0.5740631222724915	0.523254930973053	0.5594812631607056	0.5338733792304993	0.563766360282898	0.5613437294960022	0.5693164467811584	0.5593540668487549	0.5469915270805359	0.5439944863319397	0.5594514608383179	0.5575925707817078	0.5815805792808533	0.5645171999931335	0.5698537826538086	0.55958092212677	0.5878658890724182	0.49368730187416077	0.5510134100914001	0.551988959312439	0.5632506012916565	0.5564335584640503	0.5604385137557983	0.5545507669448853	0.5563904047012329	0.5348511934280396	0.554799497127533	0.5470868349075317	0.5643898844718933	0.553283154964447	0.5914402008056641	0.5660068988800049	0.5351051688194275	0.5416285991668701	0.563325822353363	0.5451952815055847	0.5323643684387207	0.5277224779129028	0.5602513551712036
B3GALT6	0.4595080018043518	0.6894835233688354	0.6314221620559692	0.5082457661628723	0.3429921269416809	0.5604037642478943	0.6798495054244995	0.4838525950908661	0.4923582375049591	0.5751521587371826	0.7043367624282837	0.7254595160484314	0.5711266994476318	0.3308141231536865	0.4284132719039917	0.3937433958053589	0.3263550102710724	0.5452638864517212	0.658181369304657	0.5891706347465515	0.7570618987083435	0.527156412601471	0.5168106555938721	0.6377108693122864	0.644834041595459	0.3946564793586731	0.575547456741333	0.7033993005752563	0.6860616207122803	0.5500376224517822	0.637877881526947	0.5523132681846619	0.5332496166229248	0.5851742625236511	0.7001240849494934	0.5422385931015015	0.6085205078125	0.6535632014274597	0.42957618832588196	0.44518208503723145	0.6241919994354248	0.3323909342288971	0.5492478013038635	0.5273593068122864	0.7363622784614563	0.6987341046333313	0.5731868743896484	0.7228664755821228	0.8004516363143921	0.4848508834838867	0.4928484857082367	0.5143623352050781	0.7776516079902649	0.5254883766174316	0.5892820358276367	0.35803312063217163	0.6408740878105164	0.5745421648025513	0.5410246253013611	0.6728671789169312	0.555850088596344	0.3156145513057709	0.5554115772247314	0.6606335639953613	0.34691086411476135	0.4387546479701996	0.5645363330841064	0.5051243305206299	0.7081804871559143	0.44756439328193665	0.5346051454544067	0.5975884199142456	0.5909247994422913	0.31998226046562195	0.5022916793823242	0.5868838429450989	0.673801839351654	0.533075213432312	0.5052019357681274	0.5340282917022705	0.5913571715354919	0.5295403003692627	0.6816475987434387	0.5951483249664307	0.5584849119186401	0.6225170493125916	0.5646421909332275	0.5560609698295593	0.4624347984790802	0.6309367418289185	0.5669209361076355	0.6129674911499023
