sample_index,score,is_prototype,true_dominant_type,pred_dominant_type,true_Luminal_Macrophages,pred_Luminal_Macrophages,true_Type 2 alveolar,pred_Type 2 alveolar,true_Fibroblasts,pred_Fibroblasts,true_Dendritic cells,pred_Dendritic cells
4620,0.99975353,True,Fibroblasts,Dendritic cells,0.13333334,0.1338263,0.2,0.19984931,0.33333334,0.33314118,0.33333334,0.33318323
3298,0.9995145,True,Luminal_Macrophages,Luminal_Macrophages,0.41379312,0.4140218,0.03448276,0.034481388,0.20689656,0.20592698,0.3448276,0.34556982
242,0.9994552,True,Luminal_Macrophages,Luminal_Macrophages,0.4,0.40041852,0.3,0.30065563,0.2,0.20001547,0.1,0.09891042
3359,0.99945134,True,Luminal_Macrophages,Luminal_Macrophages,0.33333334,0.33310968,0.16666667,0.16657452,0.2,0.20109732,0.3,0.2992185
4016,0.9994092,True,Dendritic cells,Dendritic cells,0.2580645,0.2581184,0.29032257,0.29019335,0.09677419,0.097901985,0.3548387,0.35378635
4938,0.9993415,True,Luminal_Macrophages,Luminal_Macrophages,0.36666667,0.3679831,0.36666667,0.36665845,0.13333334,0.13202451,0.13333334,0.13333395
1468,0.99923027,True,Luminal_Macrophages,Luminal_Macrophages,0.33333334,0.3344136,0.13333334,0.1337926,0.2,0.19918643,0.33333334,0.33260736
4073,0.9992119,True,Type 2 alveolar,Type 2 alveolar,0.41379312,0.41527322,0.44827586,0.44837192,0.10344828,0.102216326,0.03448276,0.034138568
1549,0.99917185,True,Type 2 alveolar,Type 2 alveolar,0.31034482,0.31198108,0.44827586,0.44778758,0.10344828,0.10346825,0.13793103,0.13676308
4723,0.9991383,True,Luminal_Macrophages,Luminal_Macrophages,0.29032257,0.2913804,0.2580645,0.25658986,0.2580645,0.25873005,0.19354838,0.19329967
2129,0.99909323,True,Luminal_Macrophages,Fibroblasts,0.33333334,0.33178738,0.3,0.30041113,0.33333334,0.33306575,0.033333335,0.034735717
1135,0.9990186,True,Dendritic cells,Dendritic cells,0.22580644,0.22588155,0.2580645,0.25954738,0.12903225,0.12706943,0.38709676,0.38750163
4117,0.99894774,True,Luminal_Macrophages,Luminal_Macrophages,0.36666667,0.36575633,0.23333333,0.23359922,0.23333333,0.23517205,0.16666667,0.1654725
4305,0.99893093,True,Luminal_Macrophages,Luminal_Macrophages,0.3548387,0.35506067,0.32258064,0.32449675,0.12903225,0.12780347,0.19354838,0.19263907
2273,0.9988981,True,Luminal_Macrophages,Luminal_Macrophages,0.41379312,0.41401875,0.20689656,0.20469275,0.1724138,0.17300308,0.20689656,0.2082854
1544,0.9988666,True,Type 2 alveolar,Type 2 alveolar,0.23333333,0.2310666,0.3,0.3001518,0.26666668,0.26854458,0.2,0.20023707
1171,0.9988637,True,Luminal_Macrophages,Luminal_Macrophages,0.3,0.3016293,0.3,0.29772732,0.16666667,0.166861,0.23333333,0.23378234
3242,0.9988425,True,Luminal_Macrophages,Fibroblasts,0.4,0.3989013,0.06666667,0.06545037,0.4,0.4000589,0.13333334,0.13558944
1574,0.99883527,True,Luminal_Macrophages,Luminal_Macrophages,0.5,0.50151753,0.033333335,0.03414525,0.33333334,0.333045,0.13333334,0.13129225
2552,0.9988313,True,Type 2 alveolar,Type 2 alveolar,0.3,0.29941604,0.33333334,0.33250025,0.16666667,0.16900417,0.2,0.19907956
3185,0.9988186,True,Luminal_Macrophages,Dendritic cells,0.3,0.30000597,0.26666668,0.26778176,0.13333334,0.13097045,0.3,0.30124176
