Luminal_Macrophages,Type 2 alveolar,Fibroblasts,Dendritic cells
0.09677419,0.16129032,0.12903225,0.61290324
0.3,0.33333334,0.16666667,0.2
0.1,0.33333334,0.23333333,0.33333334
0.32258064,0.032258064,0.09677419,0.5483871
0.5483871,0.06451613,0.09677419,0.29032257
0.03448276,0.10344828,0.31034482,0.55172414
0.33333334,0.3,0.2,0.16666667
0.23333333,0.26666668,0.4,0.1
0.06666667,0.23333333,0.36666667,0.33333334
0.3448276,0.31034482,0.13793103,0.20689656
0.33333334,0.26666668,0.33333334,0.06666667
0.33333334,0.1,0.43333334,0.13333334
0.29032257,0.16129032,0.22580644,0.32258064
0.6333333,0.3,0.06666667,0.0
0.22580644,0.12903225,0.22580644,0.41935483
0.06666667,0.6333333,0.13333334,0.16666667
0.26666668,0.16666667,0.56666666,0.0
0.36666667,0.33333334,0.16666667,0.13333334
0.33333334,0.23333333,0.1,0.33333334
0.0,0.4827586,0.41379312,0.10344828
0.33333334,0.2,0.33333334,0.13333334
0.33333334,0.33333334,0.1,0.23333333
0.2,0.43333334,0.23333333,0.13333334
0.13333334,0.23333333,0.33333334,0.3
0.06666667,0.26666668,0.3,0.36666667
0.2,0.3,0.13333334,0.36666667
0.12903225,0.12903225,0.7096774,0.032258064
0.13333334,0.4,0.13333334,0.33333334
0.33333334,0.26666668,0.06666667,0.33333334
0.4,0.26666668,0.1,0.23333333
0.23333333,0.1,0.33333334,0.33333334
0.06666667,0.3,0.26666668,0.36666667
0.46666667,0.33333334,0.1,0.1
0.2,0.4,0.36666667,0.033333335
0.4827586,0.1724138,0.2413793,0.10344828
0.37931034,0.27586207,0.13793103,0.20689656
0.16666667,0.2,0.16666667,0.46666667
0.20689656,0.31034482,0.03448276,0.44827586
0.13793103,0.27586207,0.06896552,0.51724136
0.13333334,0.3,0.23333333,0.33333334
0.23333333,0.46666667,0.13333334,0.16666667
0.36666667,0.1,0.33333334,0.2
0.13333334,0.4,0.4,0.06666667
0.29032257,0.19354838,0.19354838,0.32258064
0.1,0.76666665,0.033333335,0.1
0.26666668,0.26666668,0.23333333,0.23333333
0.8333333,0.033333335,0.06666667,0.06666667
