	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
gene0	78	63	273	466	299	875	213	468	911	298
gene1	473	319	510	283	7	702	13	713	794	781
gene2	745	733	442	336	904	728	826	787	299	432
gene3	418	111	486	437	41	710	269	575	41	895
gene4	811	752	149	365	415	949	571	294	650	795
gene5	697	42	275	816	445	186	498	579	864	559
gene6	7	489	230	179	620	386	627	971	346	953
gene7	968	927	464	167	136	878	663	805	975	663
gene8	103	200	514	518	743	248	783	544	602	46
gene9	698	702	333	4	495	125	775	498	445	100
gene10	609	860	861	721	555	380	653	102	328	628
gene11	796	69	992	335	779	259	850	691	762	517
gene12	336	452	668	167	616	978	135	191	212	770
gene13	520	943	47	500	290	776	940	348	469	389
gene14	292	490	473	365	168	774	210	769	75	317
gene15	729	148	715	605	84	470	136	715	170	199
gene16	351	346	964	184	504	317	450	948	347	953
gene17	609	84	934	777	274	760	7	532	170	84
gene18	618	549	696	188	317	191	535	131	886	283
gene19	60	58	815	105	196	847	323	263	555	400
gene20	262	354	617	810	825	150	824	634	688	90
gene21	151	869	107	320	264	907	778	174	150	494
gene22	977	71	707	527	630	66	175	471	714	541
gene23	641	490	604	676	663	322	496	0	981	41
gene24	710	988	985	417	223	537	498	965	62	47
gene25	846	685	392	226	276	415	736	449	56	661
gene26	181	341	860	68	783	43	322	913	784	951
gene27	640	877	116	933	484	364	435	989	806	547
gene28	584	772	365	193	994	427	271	971	777	85
gene29	858	404	372	789	191	502	571	429	272	561
gene30	654	600	900	783	273	20	739	479	90	440
gene31	121	906	862	534	842	161	939	633	330	221
gene32	665	362	383	232	212	484	10	569	546	735
gene33	926	436	725	350	673	364	828	436	263	164
gene34	224	800	628	119	443	998	918	200	630	196
gene35	949	308	114	696	30	332	566	889	385	213
gene36	882	384	153	128	515	874	862	306	961	104
gene37	41	919	665	337	430	141	366	977	39	324
gene38	309	285	39	590	249	245	619	136	283	192
gene39	80	49	378	648	557	245	943	269	166	691
gene40	435	239	517	908	441	612	785	395	492	288
gene41	675	495	72	291	758	583	363	273	888	552
gene42	585	336	590	804	490	912	790	233	947	796
gene43	979	972	99	916	219	756	215	603	332	399
gene44	288	322	788	968	698	853	954	889	721	112
gene45	194	71	23	437	268	924	671	601	904	457
gene46	506	290	904	755	906	709	115	36	701	870
gene47	753	289	180	447	195	924	224	150	172	896
gene48	243	580	677	461	343	369	29	894	961	451
gene49	333	477	962	645	479	912	594	409	320	823
gene50	655	435	236	718	139	341	987	790	842	517
gene51	802	583	568	685	898	141	204	371	625	588
gene52	841	794	555	514	738	234	704	515	842	277
gene53	655	382	702	447	486	879	995	132	221	710
gene54	675	222	149	407	460	223	320	107	240	160
gene55	941	118	689	292	992	16	472	901	275	914
gene56	182	677	759	973	90	425	981	444	644	913
gene57	148	461	678	386	992	320	767	420	109	295
gene58	231	951	677	686	305	109	898	501	461	692
gene59	923	739	86	566	429	901	949	877	897	563
gene60	111	659	450	476	807	990	578	439	122	545
gene61	101	113	441	339	210	375	915	551	486	792
gene62	683	673	544	860	845	770	737	514	324	66
gene63	23	695	754	206	641	470	941	882	14	111
gene64	197	835	417	308	344	376	860	678	540	715
gene65	151	670	136	587	878	90	794	185	240	885
gene66	488	244	590	329	366	573	182	397	846	932
gene67	53	471	243	792	228	121	351	732	401	591
gene68	38	309	317	376	338	4	978	57	171	764
gene69	29	414	37	62	616	380	771	284	211	341
gene70	353	270	706	28	708	542	866	101	484	847
gene71	423	882	215	328	56	283	535	314	189	792
gene72	224	92	741	906	6	404	512	377	615	78
gene73	982	238	958	534	304	218	660	109	701	38
gene74	508	628	175	895	825	476	849	174	984	564
gene75	605	969	405	673	782	551	478	382	618	786
gene76	586	367	309	363	191	200	455	993	79	612
gene77	4	706	473	581	678	849	565	629	605	535
gene78	513	966	252	360	416	597	337	69	789	503
gene79	710	279	853	992	159	580	448	579	368	294
gene80	499	75	437	480	718	509	765	728	159	773
gene81	455	702	109	651	853	210	165	856	923	45
gene82	891	502	823	93	562	319	463	773	300	670
gene83	348	414	149	277	537	345	58	879	546	188
gene84	295	854	935	430	544	181	724	823	114	367
gene85	2	452	386	914	352	80	706	248	833	877
gene86	847	400	296	855	616	941	441	214	863	90
gene87	396	416	339	662	467	93	534	521	278	154
gene88	134	863	86	110	290	582	812	478	724	820
gene89	620	188	272	302	869	922	406	683	232	196
gene90	723	405	993	984	769	334	446	424	293	513
gene91	132	782	664	947	658	497	647	611	117	537
gene92	550	561	320	23	164	648	849	709	156	378
gene93	44	940	348	281	664	79	480	640	579	690
gene94	783	903	580	3	565	460	66	204	610	316
gene95	590	185	301	604	64	770	354	243	268	977
gene96	23	120	286	640	247	730	431	465	136	750
gene97	76	80	686	461	714	371	192	226	273	274
gene98	526	196	246	631	276	581	168	373	435	41
gene99	989	954	94	391	669	119	72	598	636	990
