,C10,SVEC,RAW
0,0.4484607,0.3698904,0.18164885
1,0.37512317,0.46387172,0.16100512
2,0.3016732,0.45479625,0.24353047
3,0.20401382,0.38291624,0.41306996
4,0.3415068,0.35296005,0.3055332
5,0.4447406,0.24903618,0.30622324
6,0.2769485,0.39885995,0.32419157
7,0.25663552,0.29272944,0.450635
8,0.38743126,0.5183264,0.094242305
9,0.3031718,0.39214,0.30468816
10,0.3914713,0.23368883,0.3748399
11,0.5112267,0.2926069,0.19616644
12,0.47252822,0.30597717,0.22149462
13,0.40871018,0.43708467,0.15420511
14,0.45695904,0.26431537,0.27872562
15,0.3856737,0.3328936,0.2814327
16,0.2347295,0.42957067,0.33569977
17,0.29021725,0.3725491,0.33723366
18,0.1963148,0.35723287,0.4464523
19,0.3185985,0.19445151,0.48694995
20,0.3882435,0.3282383,0.2835182
21,0.3157508,0.5276624,0.15658681
22,0.2876207,0.2927075,0.41967174
23,0.22566587,0.561725,0.21260913
24,0.30067626,0.56559694,0.1337268
25,0.3059337,0.37086213,0.32320416
26,0.34417334,0.4603744,0.19545226
27,0.32856205,0.34754783,0.3238901
28,0.2759325,0.12911472,0.59495276
29,0.23110835,0.29727608,0.4716155
30,0.31965044,0.3292765,0.35107306
31,0.45992112,0.4156315,0.124447346
32,0.44010875,0.20754807,0.3523432
33,0.42105588,0.2649937,0.3139504
34,0.42999685,0.3833996,0.18660356
35,0.26361394,0.51119,0.2251961
36,0.37486768,0.3547947,0.2703376
37,0.21022885,0.3556647,0.4341065
38,0.35216573,0.40654197,0.24129228
39,0.4687812,0.39546707,0.13575175
40,0.32605013,0.39257842,0.28137144
41,0.3839916,0.5209073,0.09510111
42,0.41126195,0.19352049,0.39521757
43,0.46131027,0.39642823,0.14226145
44,0.2888733,0.22069027,0.49043638
45,0.374236,0.38502803,0.24073595
46,0.4214884,0.43404594,0.1444657
47,0.27772266,0.28156638,0.44071093
48,0.39510095,0.3936861,0.21121302
49,0.29505813,0.32932633,0.37561548
50,0.28017756,0.5012093,0.21861309
51,0.4029614,0.23585714,0.36118147
52,0.39761502,0.42517123,0.17721382
53,0.35667658,0.39857662,0.24474677
54,0.40193358,0.34704176,0.2510247
55,0.28326818,0.1502064,0.5665254
56,0.3600952,0.44489476,0.19501004
57,0.33905804,0.38505876,0.27588323
58,0.3303661,0.3458858,0.3237481
59,0.30352724,0.3659042,0.33056852
60,0.39695904,0.3553417,0.24769929
61,0.2669918,0.42815736,0.30485082
62,0.17803517,0.38863623,0.43332863
63,0.41551536,0.43368453,0.15080011
64,0.33709124,0.13025475,0.53265405
65,0.23501325,0.38164815,0.3833386
66,0.2515625,0.38821906,0.3602184
67,0.3505961,0.4886335,0.16077042
68,0.35696396,0.35047966,0.29255638
69,0.4169036,0.12734953,0.45574692
70,0.38690597,0.32810888,0.28498515
71,0.31295192,0.42522603,0.26182202
72,0.3583251,0.35772365,0.28395128
73,0.38752517,0.36677834,0.24569649
74,0.28148273,0.35326767,0.36524957
75,0.35764596,0.49544388,0.1469101
76,0.36205864,0.30946985,0.32847154
77,0.3905594,0.364714,0.24472667
78,0.44834262,0.18928765,0.3623697
79,0.3911519,0.13312647,0.4757216
80,0.3312802,0.4691058,0.19961403
81,0.23512654,0.38025123,0.38462216
82,0.3807772,0.17586434,0.4433585
83,0.40028614,0.41776302,0.1819508
84,0.33514953,0.38458607,0.28026444
85,0.33006808,0.32249632,0.34743556
86,0.27098256,0.26366374,0.4653537
87,0.38885698,0.40882754,0.20231543
88,0.41832417,0.13454036,0.44713545
89,0.35904658,0.3732703,0.26768312
90,0.43832836,0.36941624,0.19225545
91,0.43407992,0.41853565,0.1473844
92,0.32823917,0.30627483,0.365486
93,0.31177968,0.34909242,0.3391279
94,0.38917163,0.41016808,0.20066035
95,0.370412,0.22734602,0.402242
96,0.27236664,0.6016647,0.1259686
97,0.26255366,0.47361755,0.26382884
98,0.3732513,0.32103476,0.30571392
99,0.4007064,0.15015046,0.4491432
100,0.29544756,0.2383683,0.46618414
101,0.34900358,0.42247382,0.22852263
102,0.39724728,0.14812128,0.45463148
103,0.3515201,0.39409897,0.25438094
104,0.41900328,0.3974512,0.18354553
105,0.35356253,0.30049548,0.34594193
106,0.28664485,0.09784088,0.6155143
107,0.41988054,0.1362843,0.4438351
108,0.23630545,0.29483834,0.46885625
109,0.42571124,0.38966054,0.18462817
110,0.39490893,0.38544855,0.21964253
111,0.28622833,0.5969071,0.11686457
112,0.41442773,0.2812441,0.3043282
113,0.2961164,0.5698477,0.13403592
114,0.4188492,0.39753827,0.18361245
115,0.3017838,0.17588837,0.52232784
116,0.37024873,0.48766962,0.14208157
117,0.16369057,0.37849718,0.45781228
118,0.36573818,0.48308372,0.15117812
119,0.28933504,0.27222508,0.43843988
120,0.25653118,0.3807153,0.36275348
121,0.19798294,0.31907666,0.48294044
122,0.4073268,0.47520044,0.117472775
123,0.40904444,0.2993428,0.2916128
124,0.44219565,0.18289512,0.37490916
125,0.3722875,0.37998658,0.2477259
126,0.31555524,0.34729862,0.33714613
127,0.3794377,0.39003962,0.23052263
128,0.25732076,0.42410728,0.31857195
129,0.17462768,0.22268145,0.6026909
130,0.23289905,0.3684339,0.39866707
131,0.27673882,0.430702,0.29255918
132,0.2649399,0.39368528,0.3413748
133,0.3113416,0.32687837,0.36177996
134,0.33266693,0.2703496,0.39698353
135,0.43853807,0.4140902,0.14737175
136,0.37338632,0.390594,0.23601972
137,0.34978738,0.34867725,0.3015354
138,0.24853857,0.5194607,0.23200075
139,0.3433689,0.29642045,0.3602107
140,0.4165047,0.39402506,0.18947023
141,0.41156957,0.49761266,0.090817764
142,0.34240085,0.54581994,0.111779235
143,0.43227622,0.40043905,0.16728477
144,0.1606519,0.37405515,0.46529293
145,0.35662726,0.31931183,0.32406086
146,0.32874522,0.13306904,0.5381857
147,0.29787412,0.35407525,0.34805062
148,0.36695823,0.24999568,0.3830461
149,0.40045297,0.31734827,0.28219876
150,0.44893596,0.35771042,0.19335362
151,0.27082002,0.19627641,0.5329036
152,0.21716748,0.1554005,0.62743205
153,0.40136236,0.3373714,0.26126626
154,0.27575538,0.37141058,0.35283405
155,0.23881327,0.097436845,0.6637499
156,0.45034814,0.34180194,0.20784986
157,0.38638568,0.47820526,0.13540907
158,0.29484525,0.33056653,0.37458822
159,0.25535563,0.3650872,0.37955713
160,0.357002,0.50000334,0.14299464
161,0.35105607,0.21180952,0.43713444
162,0.35055083,0.40581676,0.24363244
163,0.33094838,0.32248718,0.34656453
164,0.4400365,0.29612932,0.2638342
165,0.18802595,0.37680548,0.43516862
166,0.31197312,0.19832724,0.4896996
167,0.43723506,0.4621806,0.10058432
168,0.34774306,0.34046853,0.31178844
169,0.27182004,0.24330771,0.4848722
170,0.40177536,0.29756597,0.3006587
171,0.47430694,0.3547131,0.17097995
172,0.3903731,0.46015826,0.14946865
173,0.29870862,0.23952194,0.4617695
174,0.36709672,0.2800287,0.35287458
175,0.3927838,0.18636604,0.4208502
176,0.28477433,0.2981705,0.4170551
177,0.27682677,0.3833234,0.3398498
178,0.4284332,0.20538205,0.36618477
179,0.36847246,0.31958595,0.31194162
180,0.2937806,0.3963879,0.30983144
181,0.38845652,0.2957619,0.3157816
182,0.34115937,0.29552582,0.36331478
183,0.26141262,0.29615727,0.44243008
184,0.26617333,0.32950556,0.40432113
185,0.41166,0.29828992,0.2900501
186,0.36086994,0.11752883,0.52160114
