	Luminal_Macrophages	Type 2 alveolar	Fibroblasts	Dendritic cells
0	0.15063553	0.04330172	0.75462246	0.051440306
1	0.068111986	0.047629096	0.50025487	0.38400406
2	0.58845764	0.18088257	0.0059590084	0.22470078
3	0.5812873	0.12890694	0.046804853	0.2430009
4	0.18021305	0.120436676	0.18260084	0.51674944
5	0.11952004	0.32685104	0.5060847	0.04754428
6	0.57692754	0.008959339	0.119776316	0.29433683
7	0.2211361	0.53262305	0.18162157	0.06461928
8	0.23144655	0.32206184	0.28680104	0.15969059
9	0.013585703	0.02344074	0.9160435	0.046930008
10	0.011746416	0.044658445	0.71647996	0.2271152
11	0.047870502	0.07120616	0.8784702	0.0024531512
12	0.7491222	0.08453489	0.079502545	0.08684036
13	0.24982533	0.2698602	0.08648547	0.393829
14	0.25659657	0.10492099	0.12373052	0.5147519
15	0.60932225	0.15991573	0.077279605	0.1534824
16	0.3401129	0.12787454	0.18165576	0.3503568
17	0.17983632	0.29441297	0.4645491	0.06120162
18	0.21498087	0.0426375	0.55845106	0.18393056
19	0.05070347	0.056549918	0.35344052	0.5393061
20	0.15339413	0.6009978	0.17025943	0.07534864
21	0.5927312	0.32842705	0.0071999882	0.07164181
22	0.47682503	0.13548969	0.041231953	0.34645334
23	0.22808674	0.32863322	0.18202034	0.2612597
24	0.035944164	0.900569	0.03379504	0.029691752
25	0.3849134	0.3957102	0.04703417	0.17234221
26	0.17138489	0.4508528	0.1598985	0.21786383
27	0.17311472	0.09713252	0.5327904	0.19696236
28	0.3759602	0.042214517	0.09270689	0.4891184
29	0.13789704	0.14758614	0.0657436	0.6487732
30	0.18359524	0.1744181	0.32760796	0.31437868
31	0.025001887	0.359951	0.18248072	0.4325664
32	0.30829647	0.18846655	0.30560678	0.19763018
33	0.007041554	0.78296506	0.06320848	0.14678493
34	0.48509443	0.1823794	0.1840788	0.14844738
35	0.13677017	0.0029324822	0.2952009	0.56509644
36	0.19159952	0.35333556	0.32654133	0.12852359
37	0.2117323	0.4308064	0.3171649	0.04029642
38	0.14896148	0.27673396	0.09362788	0.48067668
39	0.21944615	0.18251617	0.09640572	0.501632
40	0.15937331	0.027225941	0.36997676	0.443424
41	0.117693335	0.086728945	0.5408745	0.25470322
42	0.29028985	0.10627577	0.278399	0.3250354
43	0.19171263	0.3491167	0.2757271	0.18344359
44	0.1022272	0.06311343	0.11668629	0.71797305
45	0.058439165	0.53079396	0.15508157	0.25568533
46	0.25713456	0.42355698	0.30691475	0.012393719
47	0.37261808	0.42358467	0.19896342	0.004833833
48	0.16708791	0.43688315	0.1710787	0.22495025
49	0.308811	0.29662672	0.2568228	0.13773948
50	0.093830846	0.25886062	0.29043585	0.35687268
51	0.09697468	0.5552082	0.021163365	0.32665375
52	0.0012264937	0.11126532	0.84258425	0.044923946
53	0.5112326	0.31010136	0.1317269	0.046939112
54	0.06879835	0.38785434	0.4052738	0.1380735
55	0.24990733	0.13938652	0.5079513	0.102754846
56	0.722217	0.102051586	0.15116398	0.024567403
57	0.11247092	0.8530809	0.028088763	0.006359361
58	0.40787625	0.047358166	0.51409936	0.030666234
59	0.009309958	0.727516	0.037874185	0.22529988
60	0.026043609	0.39684117	0.31136265	0.26575258
61	0.07445291	0.32285303	0.22335415	0.37933993
62	0.09211332	0.48343563	0.35272068	0.07173039
63	0.3400459	0.46706897	0.1627522	0.030132916
64	0.048701074	0.093586065	0.14427464	0.7134382
65	0.20131008	0.5758439	0.09227531	0.13057072
66	0.12557063	0.27854213	0.45482007	0.14106718
67	0.041691985	0.7039439	0.113195315	0.14116882
68	0.31868774	0.057695538	0.10019224	0.5234245
69	0.30528918	0.0894756	0.40157717	0.20365806
70	0.015451917	0.35363153	0.017861327	0.6130552
71	0.08264795	0.049919777	0.1312633	0.736169
72	0.38060683	0.1442236	0.34924272	0.12592685
73	0.23914348	0.02681045	0.36961132	0.36443475
74	0.8144997	0.016878998	0.044927828	0.12369348
75	0.02616595	0.05835548	0.20676246	0.7087161
76	0.5712057	0.21388346	0.1413711	0.07353976
77	0.07773097	0.36367282	0.17240448	0.38619173
