	Luminal_Macrophages	Type 2 alveolar	Fibroblasts	Dendritic cells
0	0.66057765	0.2797893	0.042492654	0.017140413
1	0.3491604	0.36955172	0.20876935	0.07251853
2	0.26039836	0.058732793	0.4567448	0.22412406
3	0.34476912	0.042513613	0.2696629	0.34305435
4	0.48818156	0.034721892	0.44205543	0.035041098
5	0.4152947	0.019655228	0.3754736	0.18957646
6	0.26519072	0.24477248	0.2012481	0.2887887
7	0.08346992	0.24714369	0.2576471	0.4117393
8	0.25777692	0.40112254	0.047111455	0.29398906
9	0.18885143	0.46680933	0.13203646	0.2123028
10	0.285715	0.053832315	0.34761077	0.31284192
11	0.30702475	0.20080967	0.1723775	0.3197881
12	0.16011074	0.4029399	0.3752068	0.061742555
13	0.263258	0.3879597	0.31846878	0.030313531
14	0.14270191	0.44784227	0.093328685	0.31612715
15	0.34695792	0.3088228	0.19133057	0.1528887
16	0.46272862	0.35587972	0.1123843	0.06900737
17	0.28195748	0.28124684	0.1762807	0.26051494
18	0.10570601	0.010154916	0.32072896	0.5634101
19	0.2548883	0.19213633	0.14503762	0.40793774
20	0.33355862	0.3316173	0.042569343	0.29225475
21	0.1660614	0.38224983	0.34364232	0.10804644
22	0.16564342	0.56307876	0.08716854	0.18410926
23	0.12685297	0.15330516	0.21869446	0.5011474
24	0.29042506	0.16729233	0.37756938	0.16471325
25	0.3363053	0.37704378	0.058599524	0.22805141
26	0.08134312	0.44500622	0.27966616	0.19398452
27	0.13112795	0.148171	0.20565917	0.5150419
28	0.57908857	0.009252549	0.2165341	0.19512478
29	0.40830487	0.2181832	0.3395193	0.033992644
30	0.44695136	0.40959364	0.13032906	0.013125944
31	0.24185194	0.29562366	0.17298268	0.28954172
32	0.1774356	0.3726074	0.12682572	0.32313126
33	0.020235624	0.4238161	0.22974096	0.3262073
34	0.15008196	0.040253386	0.37315542	0.43650922
35	0.43018913	0.06979674	0.044501495	0.45551264
36	0.28613287	0.24697351	0.2768307	0.1900629
37	0.059861653	0.38263226	0.2291586	0.3283475
38	0.07485073	0.11041294	0.62454987	0.19018649
39	0.21034685	0.30056652	0.21338731	0.27569932
40	0.2784154	0.3680344	0.12546788	0.2280823
41	0.53022707	0.03490338	0.3089552	0.12591437
42	0.63271135	0.10780589	0.058278047	0.2012047
43	0.7567494	0.057891566	0.019605385	0.16575363
44	0.052979954	0.29735693	0.38053057	0.26913255
45	0.09533123	0.5369342	0.36336178	0.0043728063
46	0.15835802	0.29864606	0.38158205	0.16141388
47	0.049089536	0.33923802	0.30562958	0.30604288
48	0.2930918	0.13447708	0.24954396	0.32288712
49	0.071251415	0.44957396	0.32593435	0.15324028
50	0.5644522	0.12766138	0.26395577	0.04393067
51	0.35029137	0.20837715	0.24513695	0.19619453
52	0.14227356	0.16895649	0.40077263	0.2879973
53	0.425065	0.08770367	0.41590104	0.07133029
54	0.18166892	0.3038579	0.35881078	0.15566242
55	0.14485647	0.22390507	0.3676026	0.26363587
56	0.42036667	0.1946312	0.29194725	0.09305486
57	0.28532457	0.15241013	0.44781813	0.11444716
58	0.3058648	0.017200444	0.5537411	0.123193674
59	0.4102167	0.3201648	0.042344764	0.22727375
60	0.15848203	0.46456224	0.18040513	0.19655062
61	0.5000506	0.19677916	0.28670508	0.016465172
62	0.12774603	0.41782275	0.04571316	0.40871808
63	0.20674369	0.36014012	0.28495765	0.14815855
64	0.34112468	0.28802037	0.26506564	0.1057893
65	0.17895202	0.22527392	0.22494172	0.37083232
66	0.31035572	0.022156559	0.15578417	0.51170355
67	0.56605583	0.3758713	0.007289119	0.05078375
68	0.20079312	0.10405749	0.39303693	0.30211246
69	0.044963107	0.68739253	0.20931704	0.05832733
70	0.546968	0.050174456	0.10400696	0.2988506
71	0.2985442	0.14276668	0.41541255	0.14327659
72	0.4614426	0.17786881	0.29299498	0.06769364
73	0.40652484	0.113542475	0.33727166	0.14266104
74	0.022381539	0.6065927	0.3388897	0.032136083
75	0.3216031	0.33687395	0.13628347	0.20523947
76	0.16406713	0.2420728	0.31097043	0.2828896
77	0.21238257	0.22186811	0.17029102	0.3954583
78	0.117682695	0.40425617	0.196211	0.28185013
79	0.26756316	0.23714535	0.11268715	0.38260433
80	0.37768674	0.14398459	0.16130076	0.31702793
81	0.45585468	0.08620455	0.41966286	0.0382779
82	0.28743944	0.11959689	0.3225701	0.27039358
83	0.48245576	0.35087168	0.11122398	0.05544858
84	0.29609516	0.37009966	0.12802956	0.20577563
85	0.08784215	0.4877011	0.26905224	0.15540454
86	0.013403882	0.41559675	0.21740198	0.35359737
87	0.477724	0.21151827	0.27612782	0.03462992
88	0.115041256	0.38575742	0.17399976	0.32520157
89	0.120453365	0.20651871	0.62600183	0.047026128
90	0.17492124	0.27238873	0.23491576	0.31777427
91	0.3015995	0.3417711	0.08669167	0.26993775
92	0.16074167	0.33264259	0.44259268	0.06402306
93	0.19745387	0.28210193	0.46421733	0.05622685
94	0.36279288	0.10085423	0.040868398	0.49548447
95	0.26747245	0.38781255	0.009706011	0.335009
96	0.32804596	0.16117114	0.26336947	0.24741341
97	0.47677234	0.29514074	0.1574608	0.0706261
98	0.18541293	0.20561622	0.4186859	0.19028494
99	0.24206316	0.33866525	0.21113244	0.20813915
100	0.063188836	0.2950914	0.41966712	0.22205265
101	0.06426436	0.44687894	0.32426062	0.16459608
102	0.16641445	0.2582741	0.30824748	0.26706398
103	0.052129094	0.40682656	0.3999023	0.14114201
104	0.25770578	0.28775632	0.10115526	0.35338262
105	0.33881673	0.18413827	0.20067759	0.2763674
106	0.16442034	0.31170535	0.26300955	0.26086476
107	0.12377361	0.12292157	0.32896736	0.42433745
108	0.25628972	0.18622926	0.26233736	0.29514366
109	0.056739457	0.43861333	0.08901594	0.41563126
110	0.24479334	0.40433025	0.2586816	0.09219483
111	0.23511301	0.028352037	0.4274154	0.30911955
112	0.28274357	0.25796318	0.22094536	0.23834787
113	0.022823136	0.41580567	0.36122578	0.20014541
114	0.45115134	0.22598006	0.31675345	0.0061151553
115	0.26121023	0.13275576	0.2649528	0.34108117
116	0.1386926	0.28648245	0.20907871	0.36574623
117	0.2800093	0.30680847	0.044580385	0.36860183
118	0.09099161	0.004654819	0.4516484	0.45270514
119	0.20311089	0.17766464	0.2142785	0.40494597
120	0.034169056	0.4086198	0.47854614	0.07866502
121	0.15670301	0.37895373	0.07982203	0.38452125
122	0.022357173	0.45042583	0.4617364	0.06548058
123	0.12914497	0.15307215	0.50764734	0.21013556
124	0.37304646	0.28844416	0.28149885	0.05701053
125	0.56418616	0.0335204	0.36214936	0.040144093
126	0.112143606	0.32588038	0.28481504	0.27716097
127	0.27811202	0.20431598	0.2503566	0.26721537
128	0.34469432	0.3048424	0.041179493	0.3092838
129	0.7791601	0.0006615443	0.21345416	0.006724187
130	0.060179055	0.44163805	0.36594388	0.13223903
131	0.13849182	0.2688246	0.31959412	0.27308947
132	0.21639994	0.2615354	0.29473996	0.2273247
133	0.28937	0.29484674	0.04623135	0.3695519
134	0.07208373	0.07525197	0.21695572	0.6357086
135	0.10579297	0.37479162	0.061490107	0.45792532
136	0.24217775	0.12907664	0.39670202	0.23204358
137	0.33843726	0.23496273	0.20553353	0.22106646
138	0.1777024	0.33643183	0.31064034	0.17522545
139	0.1545666	0.14531404	0.4665614	0.23355794
140	0.257193	0.20432465	0.04137915	0.49710318
141	0.2884323	0.18880779	0.023881705	0.49887824
142	0.1733832	0.2908821	0.22333132	0.31240338
143	0.49948487	0.11021162	0.1450995	0.24520402
144	0.35469574	0.16227385	0.20864312	0.27438727
145	0.33780962	0.04047762	0.08125416	0.5404586
146	0.37275192	0.14322731	0.39588553	0.08813523
147	0.3796068	0.005453707	0.20216465	0.41277483
148	0.07607605	0.25557783	0.2796464	0.38869974
149	0.1320923	0.17583215	0.32596412	0.36611143
150	0.21594913	0.261669	0.19402501	0.32835686
151	0.34248084	0.20596062	0.34828097	0.10327758
152	0.33673644	0.3074153	0.13796864	0.2178796
153	0.2223974	0.38357928	0.03830913	0.3557142
154	0.43615866	0.25460163	0.10823949	0.20100023
155	0.46083853	0.06820836	0.15801851	0.3129346
156	0.2019588	0.2984127	0.15473227	0.34489623
157	0.48822585	0.18396527	0.13367194	0.19413695
158	0.33994898	0.09583827	0.3112562	0.25295657
159	0.4194314	0.26056316	0.23000763	0.08999782
160	0.17829557	0.2610991	0.23463748	0.32596785
161	0.26734248	0.072505295	0.15017192	0.5099803
162	0.39113578	0.086533405	0.25856456	0.2637663
163	0.16299887	0.5372796	0.25472108	0.04500045
