Gene start (bp),Gene end (bp),Gene name,Transcript start (bp),Transcript end (bp)
1,68,mt-Tf,1,68
70,1024,mt-Rnr1,70,1024
1025,1093,mt-Tv,1025,1093
1094,2675,mt-Rnr2,1094,2675
2676,2750,mt-Tl1,2676,2750
2751,3707,mt-Nd1,2751,3707
3706,3774,mt-Ti,3706,3774
3772,3842,mt-Tq,3772,3842
3845,3913,mt-Tm,3845,3913
3914,4951,mt-Nd2,3914,4951
4950,5016,mt-Tw,4950,5016
5018,5086,mt-Ta,5018,5086
5089,5159,mt-Tn,5089,5159
5192,5257,mt-Tc,5192,5257
5260,5326,mt-Ty,5260,5326
5328,6872,mt-Co1,5328,6872
6870,6938,mt-Ts1,6870,6938
6942,7011,mt-Td,6942,7011
7013,7696,mt-Co2,7013,7696
7700,7764,mt-Tk,7700,7764
7766,7969,mt-Atp8,7766,7969
7927,8607,mt-Atp6,7927,8607
8607,9390,mt-Co3,8607,9390
9391,9458,mt-Tg,9391,9458
9459,9806,mt-Nd3,9459,9806
9808,9875,mt-Tr,9808,9875
9877,10173,mt-Nd4l,9877,10173
10167,11544,mt-Nd4,10167,11544
11546,11612,mt-Th,11546,11612
11613,11671,mt-Ts2,11613,11671
11671,11741,mt-Tl2,11671,11741
11742,13565,mt-Nd5,11742,13565
13552,14070,mt-Nd6,13552,14070
14071,14139,mt-Te,14071,14139
14145,15288,mt-Cytb,14145,15288
15289,15355,mt-Tt,15289,15355
15356,15422,mt-Tp,15356,15422
38438,38535,,38438,38535
31243,31343,,31243,31343
13262,13382,,13262,13382
31967,34932,,31967,34932
90528,93623,,90528,93623
9124,58882,,9124,58882
6366,8939,,6366,8939
41338,44417,,41338,44417
17591,30203,,17591,30203
30483,32396,,30483,32396
4975,7356,,4975,7356
81607,82689,,81607,82689
16623,16721,,16623,16721
94186,95088,Vmn1r186,94186,95088
19740,22248,,19740,22248
66,1479,,66,1479
32719,32818,,32719,32818
128555,150452,,128555,150452
54469,54840,,54469,54840
25923,27230,,25923,27230
149261,150163,,149261,150163
31101,33667,,31101,33667
108390,110303,,108390,110303
30394,32306,,30394,32306
90482,93220,,90482,93220
130715,133448,,130715,133448
66955,67326,,66955,67326
168268,170838,,168268,170838
82993,86051,,82993,86051
82993,86051,,82993,86051
123792,124928,,123792,124928
108318,111392,,108318,111392
113868,114758,,113868,114758
32239,47294,,32239,47294
195181,197903,,195181,197903
160465,162404,,160465,162404
179693,182203,,179693,182203
135395,136519,,135395,136519
46295,46666,,46295,46666
167446,196478,,167446,196478
173050,176134,,173050,176134
147792,149707,,147792,149707
58743,59114,,58743,59114
111572,163011,Csprs,111572,163011
146926,149659,,146926,149659
226405,229375,,226405,229375
151235,152734,,151235,152734
314841,317584,,314841,317584
158543,161339,,158543,161339
477246,480331,Gm16367,477246,480331
562161,564894,,562161,564894
587624,625594,,587624,625594
716296,720517,,716296,720517
806210,809281,,806210,809281
837364,840451,,837364,840451
910289,913083,,910289,913083
921942,924675,,921942,924675
52190,59690,,52190,59667
52190,59690,,52691,59690
31419544,31423014,Gm28489,31419544,31423014
68409633,68410328,Gm21867,68409633,68410328
68446562,68447176,Gm29448,68446562,68447176
68476137,68476829,Gm21127,68476137,68476829
31464768,31468003,Gm28488,31464768,31468003
31464768,31468003,Gm28488,31465189,31467551
31464768,31468003,Gm28488,31465189,31467551
68549224,68551559,Gm20816,68549224,68551559
68549224,68551559,Gm20816,68550741,68551424
31493683,31496915,Gm28491,31493683,31496915
31493683,31496915,Gm28491,31494107,31496462
31493683,31496915,Gm28491,31494107,31496462
68678874,68682113,Gm29447,68678874,68682113
68678874,68682113,Gm29447,68679295,68681660
68714125,68717466,Gm29446,68714125,68717466
68718880,68719192,Gm29452,68718880,68719192
68755564,68756259,Gm29451,68755564,68756259
68817865,68843997,Gm20817,68817865,68843997
31558069,31590101,Gm28490,31558069,31590101
31558069,31590101,Gm28490,31560808,31588669
68910098,68912594,Gm28633,68910098,68912594
68910098,68912594,Gm28633,68910518,68912141
31691308,31691835,Gm21562,31691308,31691835
31691308,31691835,Gm21562,31691332,31691829
68962559,68963252,Gm29410,68962559,68963252
31732883,31735247,Gm28298,31732883,31735247
31732883,31735247,Gm28298,31732883,31735247
31757555,31758082,Gm21572,31757555,31758082
31757555,31758082,Gm21572,31757579,31758076
31795357,31797635,Gm28297,31795357,31797635
31795357,31797635,Gm28297,31795357,31797635
68997874,69008469,Gm28819,68997874,69007971
68997874,69008469,Gm28819,68997930,69002166
68997874,69008469,Gm28819,68997963,69002166
68997874,69008469,Gm28819,68997975,69001540
68997874,69008469,Gm28819,68999466,69000080
68997874,69008469,Gm28819,68999903,69002138
68997874,69008469,Gm28819,68999903,69002138
68997874,69008469,Gm28819,69000485,69008469
32079749,32080444,Gm21753,32079749,32080444
32115184,32115711,Gm21723,32115184,32115711
32115184,32115711,Gm21723,32115190,32115687
69011221,69012780,Gm28462,69011221,69012766
69011221,69012780,Gm28462,69011221,69012780
69029093,69029785,Gm20818,69029093,69029785
69104076,69104768,Gm21151,69104076,69104768
32136979,32139342,Gm28296,32136979,32139342
32136979,32139342,Gm28296,32136979,32139342
32176464,32176992,Gm21821,32176464,32176992
32176464,32176992,Gm21821,32176470,32176967
69212203,69214358,Gm29409,69212203,69214358
69212203,69214358,Gm29409,69212623,69214358
69252787,69256026,Gm28632,69252787,69256026
69252787,69256026,Gm28632,69253207,69255573
32199403,32201766,Gm28295,32199403,32201766
32199403,32201766,Gm28295,32199403,32201766
32238884,32239411,Gm21842,32238884,32239411
32238884,32239411,Gm21842,32238890,32239387
69297371,69298067,Gm28101,69297371,69298067
32260391,32262754,Gm28170,32260391,32262754
32260391,32262754,Gm28170,32260391,32262754
32335570,32359974,Gm21744,32335570,32359974
69332401,69343130,Gm33815,69332401,69334763
69332401,69343130,Gm33815,69332457,69343130
69332401,69343130,Gm33815,69332513,69336752
69332401,69343130,Gm33815,69332539,69336778
69332401,69343130,Gm33815,69334518,69336752
69363879,69364574,Gm21160,69363879,69364574
32449746,32452981,Gm28764,32449746,32452981
32449746,32452981,Gm28764,32450167,32452529
32449746,32452981,Gm28764,32450167,32452529
69391514,69395024,Gm28637,69391514,69395024
69460324,69461019,Gm28636,69460324,69461019
69637093,69637786,Gm20932,69637093,69637786
32478690,32481921,Gm28762,32478690,32481921
32478690,32481921,Gm28762,32479114,32481468
32478690,32481921,Gm28762,32479114,32481468
69681445,69681929,Gm29134,69681445,69681929
32513341,32513787,Gm28763,32513341,32513787
69747529,69748275,Gm28303,69747529,69748275
69776073,69776384,Gm28304,69776073,69776384
69777798,69781141,Gm28824,69777798,69781141
69813114,69816350,Gm28081,69813114,69816350
69813114,69816350,Gm28081,69813566,69815930
69919552,69920273,Gm28080,69919552,69920273
69994133,69994828,Gm21524,69994133,69994828
32543760,32575788,Gm21094,32543760,32575788
32543760,32575788,Gm21094,32546494,32574356
32668010,32668537,Gm21588,32668010,32668537
32668010,32668537,Gm21588,32668034,32668531
32709931,32712295,Gm28761,32709931,32712295
32709931,32712295,Gm28761,32709931,32712295
32734585,32735112,Gm21599,32734585,32735112
32734585,32735112,Gm21599,32734609,32735106
32772366,32774644,Gm28765,32772366,32774644
32772366,32774644,Gm28765,32772366,32774644
33060550,33061245,Gm21810,33060550,33061245
33096043,33096570,Gm21916,33096043,33096570
33096043,33096570,Gm21916,33096049,33096546
70015477,70026168,Gm28079,70015477,70026112
70015477,70026168,Gm28079,70021804,70026024
70015477,70026168,Gm28079,70021804,70026024
70015477,70026168,Gm28079,70021806,70026030
70015477,70026168,Gm28079,70021832,70024067
70015477,70026168,Gm28079,70021832,70026055
70015477,70026168,Gm28079,70021832,70026056
70015477,70026168,Gm28079,70022430,70026012
70015477,70026168,Gm28079,70023822,70026134
70015477,70026168,Gm28079,70024341,70026168
70060738,70061434,Gm28302,70060738,70061434
33118945,33121306,Gm29191,33118945,33121306
33118945,33121306,Gm29191,33118945,33121306
70101163,70104401,Gm28082,70101163,70104401
70101163,70104401,Gm28082,70101617,70103981
33200363,33226418,Gm21756,33200363,33226418
70208107,70208802,Gm21672,70208107,70208802
33245210,33245656,Gm28210,33245210,33245656
70282575,70314612,Gm29644,70282575,70314612
33277090,33280321,Gm29074,33277090,33280321
33277090,33280321,Gm29074,33277543,33279897
33277090,33280321,Gm29074,33277543,33279897
33292586,33296052,Gm28211,33292586,33296052
70282575,70284911,Gm21118,70282575,70284911
70282575,70284911,Gm21118,70282710,70283393
33338010,33341245,Gm28518,33338010,33341245
33338010,33341245,Gm28518,33338431,33340793
33338010,33341245,Gm28518,33338431,33340793
33366948,33370180,Gm28519,33366948,33370180
33366948,33370180,Gm28519,33367372,33369727
33366948,33370180,Gm28519,33367372,33369727
33401372,33404604,Gm28520,33401372,33404604
33401372,33404604,Gm28520,33401796,33404151
33401372,33404604,Gm28520,33401796,33404151
70303854,70314556,Gm29423,70303854,70314556
70303854,70314556,Gm29423,70304549,70314556
70303854,70314556,Gm29423,70310243,70314468
70303854,70314556,Gm29423,70310245,70314474
70303854,70314556,Gm29423,70310268,70312506
70303854,70314556,Gm29423,70310268,70314499
70303854,70314556,Gm29423,70310271,70314500
70303854,70314556,Gm29423,70310924,70312506
70349196,70349891,Gm29424,70349196,70349891
70378713,70381852,4932431L22Rik,70378713,70381852
70391032,70394270,Gm29425,70391032,70394270
70391032,70394270,Gm29425,70391485,70393850
33466461,33498509,Gm20838,33466461,33498509
33466461,33498509,Gm20838,33469195,33497081
70453151,70479427,Gm20888,70453151,70479427
70453151,70479427,Gm20888,70454574,70479235
33591015,33591542,Gm21626,33591015,33591542
33591015,33591542,Gm21626,33591039,33591536
70534485,70535091,Gm28238,70534485,70535091
70569681,70569995,Gm28433,70569681,70569995
33632972,33635336,Gm28521,33632972,33635336
33632972,33635336,Gm28521,33632972,33635336
70571399,70574741,Gm28431,70571399,70574741
33657681,33658208,Gm21633,33657681,33658208
33657681,33658208,Gm21633,33657705,33658202
70606727,70609965,Gm28432,70606727,70609965
70606727,70609965,Gm28432,70607180,70609545
70717406,70718098,Gm20886,70717406,70718098
33695556,33697834,Gm28522,33695556,33697834
33695556,33697834,Gm28522,33695556,33697834
70791975,70792670,Gm21808,70791975,70792670
33983534,33984229,Gm21745,33983534,33984229
34019043,34019570,Gm28517,34019043,34019570
34041726,34044090,Gm29532,34041726,34044090
34041726,34044090,Gm29532,34041726,34044090
34081254,34081781,Gm29531,34081254,34081781
70813597,70823874,Gm28840,70813597,70823874
70813597,70823874,Gm28840,70813893,70823874
70813597,70823874,Gm28840,70819573,70823787
70813597,70823874,Gm28840,70819575,70823791
70813597,70823874,Gm28840,70819598,70821836
70813597,70823874,Gm28840,70819598,70823817
70813597,70823874,Gm28840,70819601,70823817
70813597,70823874,Gm28840,70820254,70821836
70813597,70823874,Gm28840,70821659,70822273
34104200,34106563,Gm28464,34104200,34106563
34104200,34106563,Gm28464,34104200,34106563
70858526,70859220,Gm28841,70858526,70859220
34141780,34142307,Gm29656,34141780,34142307
70901967,70905206,Gm28842,70901967,70905206
70901967,70905206,Gm28842,70902420,70904786
70970640,70995300,Gm28843,70970640,70995300
34164715,34167078,Gm29655,34164715,34167078
34164715,34167078,Gm29655,34164715,34167078
71055755,71056450,Gm28837,71055755,71056450
34240427,34271956,Gm21647,34240427,34271956
34290974,34291420,Gm29653,34290974,34291420
71092740,71093054,Gm28838,71092740,71093054
34366261,34369610,Gm29654,34366261,34369610
71094465,71097812,Gm28839,71094465,71097812
34375474,34376170,Gm29651,34375474,34376170
71234579,71235274,Gm20866,71234579,71235274
71309226,71309918,Gm20868,71309226,71309918
34412574,34413188,Gm29652,34412574,34413188
34424335,34425874,Gm29080,34424335,34425874
34442179,34442871,Gm21184,34442179,34442871
34517079,34517771,Gm21201,34517079,34517771
71330738,71341069,Gm28844,71330738,71341069
71330738,71341069,Gm28844,71336788,71340981
71330738,71341069,Gm28844,71336788,71340983
71330738,71341069,Gm28844,71336788,71340985
71330738,71341069,Gm28844,71336790,71340987
71330738,71341069,Gm28844,71336813,71339051
71330738,71341069,Gm28844,71336813,71341012
71330738,71341069,Gm28844,71337469,71339051
71330738,71341069,Gm28844,71338874,71339488
71375583,71376278,Gm21841,71375583,71376278
34625479,34628719,Gm29081,34625479,34628719
34625479,34628719,Gm29081,34625899,34628265
34625479,34628719,Gm29081,34625899,34628265
71418519,71421758,Gm28668,71418519,71421758
71418519,71421758,Gm28668,71418972,71421334
34660686,34664033,Gm29077,34660686,34664033
34669893,34670589,Gm29076,34669893,34670589
71480718,71506901,Gm20869,71480718,71506901
34706715,34707329,Gm29079,34706715,34707329
71604178,71604492,Gm28481,71604178,71604492
34718477,34720020,Gm29078,34718477,34720020
71637507,71647904,Gm28482,71637507,71647904
34736471,34737163,Gm20853,34736471,34737163
71641232,71644471,Gm28485,71641232,71644471
71641232,71644471,Gm28485,71641687,71644051
34811137,34811832,Gm29075,34811137,34811832
71703312,71729495,Gm20870,71703312,71729495
